,gene_name,ADA,ADE,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,ALM,ALN_PLN,AQR,AS,AS11,ASEL,ASER,ASG,ASH,ASI,ASJ,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVG,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWC_OFF,AWC_ON,BAG,BDU,CAN,CEP,DA,DA1,DA9,DB,DB01,DD,DVA,DVB,DVC,FLP,HSN,I1,I2,I3,I4,I5,I6,IL1_DV,IL1_LR,IL2_DV,IL2_LR,LUA,M1,M2,M3,M4,M5,MC,MI,NSM,OLL,OLQ,PDA,PDB,PDE,PHA,PHB,PHC,PLM,PQR,PVC,PVD,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RMD_DV,RMD_LR,RME_DV,RME_LR,RMF,RMG,RMH,SAA,SAB,SDQL,SDQR,SIA,SIB,SMB,SMD,URA,URB,URX,URY,VA,VA1,VA12,VB,VB01,VB02,VC,VC_4_5,VD
WBGene000109572,nduo-6,7170.93649,5323.125808,4184.475092,2706.458344,4751.277722,3398.739563,3867.820164,3018.780574,4285.521212,2392.321344,6347.00534,2703.733593,9915.134099,8289.906789,5706.829191,15656.01475,19351.59943,4909.531478,4118.579939,2749.377551,3441.330347,3507.386942,3622.848857,2987.20502,4929.279796,6130.19933,3021.149718,8842.794579,8751.818707,3945.717352,6470.355386,6189.229497,9435.462601,1301.391218,2964.493394,8320.799072,4680.665094,5977.703381,4659.825836,4495.071086,2717.171426,5667.960546,4634.978038,8989.205703,13513.53141,12700.22162,12064.30413,11916.63123,9706.220132,11764.13136,4385.526344,4657.979937,6065.923862,5702.467163,5294.217773,11258.69341,9064.62222,11005.81324,5967.260205,4599.888804,5120.025612,7423.256388,6090.271376,5849.353549,4205.187157,15441.11133,4554.971707,9198.004845,11642.11907,5818.807879,6700.206922,11392.33512,5342.64116,6715.005701,6291.624359,8496.624397,6784.637579,13659.43428,11325.35232,5934.884022,6578.39356,14111.43398,9926.845686,10087.21622,12418.27204,5390.692637,6348.788216,16280.57504,9933.058752,8246.945689,8601.502872,4433.511308,9615.07036,9623.5536,5781.381462,5406.183044,1024.93901,8167.602889,4310.484944,2330.902472,6720.647046,6018.302404,7400.030744,2294.247354,9323.542444,9489.743764,6266.641393,9435.470572,12359.63603,7257.59654,2744.639597,6208.661282,9822.92731,12145.77575,12008.46724,9256.504811,8837.11892,10791.47404,6566.279303,7505.793988,9912.321663,5103.807634,4274.215626,9384.736843,12243.30933,10761.23952,13992.65643,11470.41854,7136.038137,7201.605037,7622.253363,4149.58349,13305.91562
WBGene000109582,ndfl-4,557.4311262,354.3484187,275.7519612,214.84947,427.6666086,315.053296,322.8052135,307.9506694,325.0760398,195.102532,432.3084374,398.9195896,886.6361993,652.4350946,461.5769537,1265.136431,1268.246443,310.0645577,336.83247,181.7890807,263.2365332,237.2320856,339.5717055,239.1257902,425.7187351,438.6758223,275.8428868,859.8735618,628.6257256,427.9733592,539.0442535,562.3156929,815.2095665,145.9960062,179.3733905,704.6459008,339.9814957,437.457365,388.9233372,407.510137,158.5086492,462.490743,480.1508528,679.3381006,1087.686292,1063.678206,1095.805458,1039.963833,761.5083277,1010.868193,273.489189,413.6819147,477.5252702,489.9775603,365.0538242,956.8147748,647.7132848,587.5664264,515.7715449,353.6825451,342.9111835,702.0894238,541.7117598,486.4968294,337.108286,1114.474563,364.8727658,742.5528606,824.7556459,317.2231192,540.0342838,937.853621,325.6378065,457.6024361,499.8171588,689.3579218,591.7650976,867.5392395,754.559044,343.4194216,596.4247052,1139.304289,790.5242938,732.7040111,915.2997704,392.9233054,612.9422606,883.345055,757.3269736,547.110734,752.9500313,306.1150984,619.2365709,643.9463294,427.2788456,479.6481058,141.9589911,541.0599087,358.1801211,126.6418474,407.3785901,422.6853276,650.125804,243.2662823,674.9338289,706.2996712,486.2144612,720.2207898,914.1958774,453.3266955,253.4934792,503.3765837,998.2696328,896.791624,1018.540805,883.671015,712.1347326,832.1349388,457.1345389,645.0894136,787.2667869,425.9150685,325.0947542,786.5987201,868.8267297,1243.208907,978.0513561,847.6459619,581.3081748,713.9097013,534.4741999,318.7718872,1009.473573
WBGene000144542,MTCE.7,2331.488178,1800.72236,1274.274836,1130.574569,1587.473744,653.4816513,1109.980958,950.3731502,1148.908925,576.4589764,1582.453869,966.3403704,2291.753871,1453.801197,1527.764938,3297.899145,2921.776273,1040.066317,1211.548123,1076.365899,1048.239908,1043.613907,1047.799101,898.3223024,1619.696438,1731.609831,850.1901319,2265.598515,2137.809184,1107.98963,1777.48644,1603.596377,2239.315623,163.8375751,619.6660799,2125.770273,1276.085489,1769.248268,1127.113314,1238.668926,836.5182249,1922.129357,1569.073522,2773.641606,2870.904182,3952.919819,2317.412198,2396.39934,2757.870936,2861.773422,773.4660316,652.2302768,917.4137895,2041.584547,1154.487223,3123.462799,1946.201645,2596.732982,1298.414602,1298.180556,1371.193398,2041.736713,1829.773152,1773.810173,1253.998502,2711.752292,1411.667832,2450.670237,2776.685474,1495.346837,1592.672138,3228.69259,1380.603347,2427.198574,1841.984168,2235.000073,1431.986115,1279.59595,1864.435036,1301.877986,1241.820442,1790.019966,1948.604168,1618.341145,1999.214637,1564.477313,1272.249818,2426.669913,1304.158134,1407.759251,1774.282497,1294.551067,1326.452196,2541.400961,1657.580277,1509.230019,327.4842509,1889.604661,1203.470949,643.7009672,2118.503536,1698.507753,2304.69611,840.9617136,2146.379787,2661.980316,2019.499254,3287.450467,3314.291833,1998.012804,520.7965076,1903.233534,3209.157372,3303.953696,2095.483473,1482.968993,2546.855033,3229.221198,1719.398288,2404.159094,3627.935362,1413.738804,1435.496601,3246.440371,2937.897374,3625.666925,2110.128581,2631.574946,1717.313085,2116.086783,1654.19299,968.8661832,3099.793911
WBGene000109592,nduo-1,894.9092814,819.6725086,719.8339606,458.5691436,721.2569568,474.8315189,609.9327736,434.683139,543.5488284,330.9209043,953.5761266,389.7118738,1168.503634,908.7979984,752.4004548,1885.271869,2076.569321,543.1363223,544.7642292,366.976467,446.4551069,480.609086,519.8268092,409.3087871,779.8718728,853.014462,534.0423704,1095.532357,1082.476832,668.1277248,941.1876225,817.5397484,1200.173916,196.1846905,460.8965856,935.6501884,676.0827276,930.0271873,747.5035918,406.8264621,510.7795335,941.0222595,899.7381476,1366.348268,1647.116047,1743.211587,1546.385651,1386.01985,1234.93372,1558.9848,670.2032337,573.9694226,662.0287597,824.4972357,567.5920577,1506.864855,1125.311091,1400.678763,925.2077178,764.8732905,668.8935388,1247.564362,1046.523858,834.8851165,542.7696887,1706.631417,694.2310789,1196.801259,1556.706841,672.919364,1013.220274,1727.324135,673.9191128,1043.852543,775.0531534,1178.155204,691.0997531,1344.047025,1498.186364,840.2978003,1031.625058,1534.344642,1097.316203,1336.020048,1284.805469,660.633223,711.9894572,1657.966059,1121.671271,1037.584819,789.6951318,721.8670884,897.9495587,1259.915735,752.9629762,799.0795843,168.6929436,1143.461541,671.2263323,314.4598056,907.7979874,717.4945666,1179.819766,409.2393404,1163.313748,1237.696792,943.1673536,1280.087583,1592.694915,1018.244131,402.0792619,920.034138,1440.134352,1487.462981,897.0824737,981.9175599,1167.414409,1470.510295,831.9180328,1081.644279,1560.842894,834.666475,601.2739087,1532.892388,1390.562498,1569.099214,1620.895968,1751.205347,975.5166704,1024.72129,1005.327424,591.791056,1749.689564
WBGene000109602,atp-6,5147.177364,3545.219866,3026.837246,1995.032619,3715.31368,2083.834205,2759.69419,2179.405121,2952.869318,1618.379336,4940.989182,2217.996645,5740.299821,4705.401149,4510.465227,9937.386914,12557.48343,3098.554091,3178.540477,1875.669557,2289.273836,2202.096309,2326.610807,1593.062307,3960.539241,3630.008621,1947.035931,5066.568252,5545.110566,3065.176358,4925.996824,3714.832561,6029.599378,838.5265567,1527.993171,5604.320217,3509.890387,4034.003688,3049.581697,2897.510772,2770.034035,4110.824074,3783.684236,6003.25813,8754.413704,8217.521887,7613.547067,7350.052884,6506.402589,8005.754463,2853.262058,2310.036413,2850.980924,3551.556291,3258.172354,7092.719889,5501.697901,7802.276156,3781.835481,3416.615029,3631.446371,4789.592019,4042.518199,4100.117132,2673.789849,10354.60149,3309.121978,6067.376552,6964.809584,3732.220563,4226.99169,7989.131925,3499.038865,5053.292519,4615.11658,5864.98334,4012.209051,6414.917744,7291.125928,4119.689766,4515.527165,9070.454147,5811.340041,6526.322924,6836.743167,3556.58694,3892.410052,9367.919576,6346.572232,5040.551373,4869.283345,2457.435697,5417.646961,6267.127862,3697.069618,3732.998183,714.7401308,5434.52753,3018.46681,1390.885278,5271.385544,3881.053621,5960.968775,1474.239165,6332.451742,6174.193768,4041.286987,5835.628126,7383.748678,5147.574143,2067.076969,4375.970164,6720.085394,7707.871034,6604.094782,5916.283903,5760.329473,7090.273549,4172.524098,5193.270231,7006.480784,3742.01287,2981.731096,7573.595424,7354.718539,8311.635685,8248.486883,8186.318365,4336.398873,4533.383502,5108.920519,2621.863817,8720.903482
WBGene000109612,nduo-2,312.0680699,185.3056936,176.7232155,62.54631425,218.194829,191.0280088,218.2610808,133.1361332,167.4034005,142.1489541,293.3135103,213.8689468,332.1503906,510.2722548,265.1539765,921.2850528,1013.606544,166.8604015,160.4243241,69.44389244,144.3565914,108.4577244,225.109668,80.7267595,354.4066376,320.9290833,103.9180636,373.1251135,444.2323525,176.6721416,355.7848211,352.1374941,521.8149197,30.03329243,93.70859241,392.0709,164.7494194,178.0967812,163.3566776,91.4728736,109.689625,335.0273597,256.2948617,427.5183517,783.6494198,831.0260705,1079.675575,704.7456554,424.1585851,692.2605093,326.8045889,246.4716741,315.0390917,108.6279494,296.4282004,568.0829908,337.495635,708.1927812,257.6692775,208.1732092,143.541157,330.1256944,226.4211981,303.4499582,128.7150534,776.5222796,137.3941746,462.499543,689.6603713,248.3069566,268.2067709,532.9502334,225.8038907,406.2060519,339.4717481,358.1401115,535.115839,480.1883941,552.4518383,363.0821467,341.9539768,1029.591217,635.4605519,727.7080572,658.3867029,319.8055638,438.5417114,986.8443738,548.2373162,570.6111366,461.3660559,339.3570159,702.4974463,422.9577408,213.8231112,283.6071924,23.25206278,496.9747275,304.8476057,64.72359023,306.5857151,181.8052184,498.6471178,156.0533466,459.2975239,392.2071533,293.9010628,367.360765,453.0308752,292.5758262,130.4497007,359.2674303,464.971516,636.5450163,740.7909188,582.5553564,463.0901364,571.8583762,309.3337477,430.2294368,456.2302773,199.9816428,151.2539917,542.613543,619.1440013,447.3518849,700.177853,711.2124416,306.221696,447.4997511,497.6623455,195.6487912,744.8075906
WBGene000008292,ctb-1,844.0456057,573.7690719,460.2010112,272.0244307,621.2874713,392.7823644,482.3618066,352.7005262,558.8928044,349.6299198,831.4058513,352.502048,1100.743428,862.9375431,456.4056386,1667.427675,2397.426571,492.2292863,540.3780918,345.3943774,341.8139126,350.0995939,391.4341828,291.6610718,572.9893331,627.8040389,338.8644237,859.9780396,728.2293613,482.4152213,878.722497,660.7348371,1054.428214,120.3277674,263.4244724,976.2205884,511.3054394,699.5550455,480.0806801,381.379634,294.9199032,737.4224581,728.2642241,878.8786081,1395.986385,1569.614161,1175.144356,1248.272005,996.9165956,1390.016912,333.3168548,359.3761914,676.5848626,652.5126986,555.0344613,1293.58813,868.0281457,1158.086809,446.0072668,455.4262496,595.7874394,776.1108188,795.6230263,639.8573518,462.5485915,1795.718942,610.174577,969.7888297,1246.47966,671.780157,852.5642448,1376.090576,616.1401759,763.2790421,855.0819077,979.1038,809.8189298,1102.396303,1602.203125,654.8008959,488.7804758,1326.259188,1172.398548,903.0862441,1163.415035,617.1121567,713.541839,1546.435509,1022.164268,799.6416215,900.6764077,375.1273359,1040.653878,1017.199259,578.8242669,544.9348311,147.0818431,829.401158,475.6354526,262.5036215,893.1848392,552.3556174,959.5979933,265.8783319,992.2607357,984.508251,774.6479964,1128.298775,1335.386043,1026.873024,338.4312653,798.8962125,1152.812206,1364.544184,1201.477978,1157.256854,899.8688755,1231.48286,698.6577882,893.787002,1091.713755,570.3670992,498.9667235,1098.276156,1275.171297,1241.229961,1933.36023,1482.486749,777.4221079,720.9765537,855.4981546,415.3002542,1597.688419
WBGene000109622,ctc-3,2646.844501,1917.19594,1578.719519,1282.189457,1806.67872,1211.486034,1865.700541,1298.362647,1606.777548,1137.544649,2425.817203,989.7997809,2850.883635,2308.854136,2193.68021,4592.901887,5384.658954,1775.684726,1950.807322,988.6133444,1336.769302,1154.109602,1390.707607,930.8170203,2129.378411,1883.898802,951.0742996,2582.817693,2344.132215,1474.447946,2183.583879,1817.143741,2821.050423,473.5279194,872.3771005,2631.711974,1591.56391,2050.027877,1813.852993,1636.624323,1415.44032,2206.812642,1720.368737,3000.923744,3950.018834,4129.907091,3317.61288,3380.401296,2771.622909,3604.783276,1661.873376,1487.498453,2128.90693,2047.734933,1640.999296,3510.212944,2732.663475,3314.384226,1839.389198,2183.251362,1910.630745,2565.443912,2249.073804,2005.576671,1174.9263,4534.000419,1815.387872,3191.54626,4323.831611,1827.948498,2730.961942,4060.622793,1600.524174,2477.659591,2475.537661,2684.918819,2826.80438,3087.379346,3246.354776,2172.195586,2083.091516,4060.130145,2809.532198,3985.4464,3525.723575,1905.450754,1822.527282,4428.972822,3162.797419,2610.453132,3107.012058,1240.802939,3083.657643,3101.529217,1897.719349,2104.499,629.1901638,2627.112019,1513.892423,754.5127201,2874.321583,2154.812479,2677.742144,1260.9304,2827.84026,3046.172001,2016.974127,3114.254737,3675.929116,2560.684029,1141.386762,2161.828386,3396.22401,3544.879993,3394.485927,2506.609986,2827.281408,3285.797868,2111.934714,2470.073343,3486.917224,1861.869331,1646.965967,3497.668277,3799.701972,3934.84073,4858.690069,3591.044778,1958.914272,2599.708056,2012.685669,1550.228657,4039.231117
WBGene000109632,nduo-4,1522.698078,1007.583899,732.6326758,678.3363741,1035.738045,587.0219731,928.3934113,710.6073195,756.9127507,635.8548304,1462.975677,581.4064979,1264.449639,1561.108393,957.9358731,2749.3519,3613.49573,1015.817017,794.6012934,620.4251406,631.1957341,460.273979,715.2830825,476.8148443,1079.968755,1084.801521,585.7449915,1306.840533,1406.214703,841.939608,1550.849757,1137.539145,1713.418886,426.3087787,581.7053533,1424.035538,1014.175334,853.7109477,707.8575056,652.5023892,679.6050733,1049.357591,1033.626703,1410.851803,2493.530874,2059.892322,2469.464864,2131.664782,1782.198226,2055.380288,894.0201532,1026.296517,1065.533639,855.2166476,1059.171651,2009.31729,1442.24734,2096.961353,907.0906828,892.9492512,1095.368451,1140.562425,1003.133405,1023.354263,559.4654339,2911.333666,807.0611996,1461.260813,2081.337109,1005.39943,1297.446751,2371.83977,966.2257066,1266.205841,1228.738281,1457.589785,1045.607717,1996.799435,2427.453173,1247.836058,1332.559416,2890.77941,1593.763762,1926.364008,2044.157578,1025.907327,1295.092765,2980.24891,2060.039214,1583.224112,1495.97383,1032.372355,1706.725972,1612.467245,876.9098251,851.6005582,250.4152044,1352.617458,945.0189923,451.894324,1593.599573,859.6906873,1706.330108,487.9711681,1701.137888,1504.673501,1120.046364,1488.625792,1804.20141,1439.957643,616.9057582,1146.006035,1697.18359,2022.625783,2590.027105,1695.572988,1621.288122,2021.533891,1246.409283,1414.663519,1528.842205,876.1524695,743.5907774,1322.013837,2001.549175,1897.046538,2556.559131,2300.031953,1268.564151,1300.443413,1465.571607,970.5424993,2415.949034
WBGene000109642,ctc-1,2014.284076,1661.688213,1200.211548,1074.879163,1248.070304,786.8354251,1158.207343,781.6652455,1105.67421,714.4709212,1906.020557,934.4019416,2659.538917,1925.978914,1667.430824,3769.345354,5105.016039,1534.896734,1036.082117,806.7903463,1172.200257,959.6445183,1120.216331,711.2493939,1480.245558,1771.294785,977.4611941,2313.450594,2320.674552,1019.717687,1774.214108,1690.207534,2529.632355,421.2941777,853.5203554,1826.873329,1367.538105,1648.082194,1343.120274,1226.05794,983.4132238,1656.319757,1563.424386,2310.322625,3638.619451,3295.408825,3118.167739,3065.703306,2291.652781,2955.822081,1119.547903,939.975597,1365.01117,1618.680051,1279.630897,2825.406362,2253.413672,2379.720497,1238.771141,1452.530542,1721.095678,1571.662817,1587.432873,1509.637701,972.2928995,3340.611114,1160.858017,2417.937067,2834.117143,1391.021628,1547.677127,3025.179635,1313.39101,2493.654466,2295.921721,2444.873193,1974.31415,2646.796593,3202.244671,1712.268088,1538.33494,2692.197473,2328.979382,2454.239077,2931.56294,1507.662063,1658.03287,3367.407718,2235.652489,2254.432976,2136.064625,1012.701064,2125.363898,2368.095403,1449.904562,1574.501585,332.8746386,2110.135376,1129.108531,581.6193991,2254.763149,1565.602149,2301.386101,502.7963101,1981.605225,2514.790909,1583.397948,2808.638449,3260.955632,1884.883279,993.6895111,1446.947395,2472.051438,3231.902897,2958.207477,2100.06262,2318.783029,3151.940101,1908.660465,2057.90645,2296.237728,1528.024597,1275.354682,2740.063283,3153.430981,2704.685241,3260.70765,2976.4049,1872.139158,2135.406461,1753.121815,1185.10509,3247.990056
