,gene_name,ADA,ADE,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,ALM,ALN,AQR,AS,ASEL,ASER,ASG,ASH,ASI,ASJ,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVG,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWC_OFF,AWC_ON,BAG,BDU,CAN,CEP,DA,DA1,DA9,DB,DB01,DB02,DD,DVA,DVB,DVC,FLP,HSN,I1,I2,I3,I4,I5,I6,IL1,IL2_DV,IL2_LR,LUA,M1,M2,M3,M4,M5,MC,MI,NSM,OLL,OLQ,PDA,PDB,PDE,PHA,PHB,PHC,PLM,PLN,PQR,PVC,PVD,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RMD_DV,RMD_LR,RME_DV,RME_LR,RMF,RMG,RMH,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,URA,URB,URX,URY,VA,VA1,VA12,VB,VB01,VB02,VC,VC_4_5,VD
WBGene000109572,nduo-6,7470.345234,12142.44697,3256.003761,3509.546963,6571.340745,4928.789331,4567.830673,5351.563789,7329.841193,4206.724999,8417.831932,7735.969569,7896.549542,2459.090687,6414.623837,14068.791,7060.311465,6492.880114,6485.852555,3288.769358,2218.753985,6403.089689,4862.680261,10084.98404,6549.872796,5357.586494,14951.11486,8691.54927,8300.134885,5383.349584,6129.653328,8072.788537,701.2394428,4893.12283,6891.741738,5109.950627,5557.196222,9840.040921,9470.213816,12206.48242,4053.311655,3894.567133,16356.48636,15973.0495,21943.17535,14967.67204,11516.40976,8614.337838,12293.7311,6795.924745,9882.71559,4773.50669,10956.49967,10020.95864,8785.776478,14087.7931,19490.77418,16762.10122,19822.35012,12718.67066,10442.80885,9744.284089,6831.928549,7523.398388,10555.73742,10223.21391,18827.96519,20096.01551,4481.685466,11250.19886,18103.07562,5922.898356,18276.86431,12762.17498,14080.65135,4580.552668,12326.79855,8717.161501,8456.492225,9176.961774,9922.903447,9868.47556,7453.987135,12907.80734,14333.967,9801.368773,9604.235552,6944.564453,5685.965871,5823.735588,5623.087966,12141.11096,7443.950269,14932.72126,7863.652789,10403.05019,7783.960809,7313.26061,8464.297504,8293.148162,9142.906151,15549.41377,8274.180983,724.1053644,5856.662212,13061.48556,11991.45092,12897.35889,9559.140153,5663.922035,5163.095004,3612.177908,12255.57535,14965.2743,5693.947862,4135.706106,8325.625171,7319.412593,13750.43014,7735.630928,8222.364598,11145.52594,16886.68725,10670.87329,12861.02517,9810.705474,13327.47539,11641.41032,9521.036363,4403.682066,3955.168897,9758.880114
WBGene000109582,ndfl-4,1079.088087,1355.476687,593.6498956,534.9209265,1379.20667,1318.84438,490.8847876,830.5419529,798.5311185,768.7912347,806.3715124,852.45899,951.4202664,669.9289909,423.5576035,1227.564488,1198.95326,1589.855011,698.0737563,581.513807,359.067032,611.2642985,868.5417555,1530.397131,1011.750104,859.0811701,1610.559053,1175.855078,1556.953622,469.3152552,745.0196455,965.2656815,82.51021866,315.1861367,659.3592381,740.2808544,783.8133249,1560.523674,1367.972868,1781.25844,563.7383077,767.317973,1898.962492,985.6663388,1265.278352,496.9727497,782.5181925,791.0043419,872.7797912,952.5021232,1625.655793,409.2634906,1817.827455,1651.339788,866.7975325,1279.065297,1227.714651,1956.659317,1890.404625,1190.370936,1057.005043,2358.163867,452.3964894,690.4161974,2173.366332,638.3470969,1737.969999,2865.404355,382.1346573,708.7554004,1459.815374,822.0154615,1774.645238,1611.979268,1858.034743,760.458947,1041.73553,785.2520888,936.3791994,1519.671149,1561.757649,1078.242089,819.4002669,2280.876775,1114.221998,1564.576367,875.4208271,1134.84586,430.4550684,747.5677719,488.9147143,1885.917677,956.5857823,2135.753676,1027.579437,1491.034739,865.1241347,695.7296967,618.799904,768.632597,1278.121786,1866.678341,919.2251207,88.40551985,682.1189386,1753.887695,1512.944356,2614.727069,1414.782282,941.9447865,965.7463622,405.2907092,1634.432158,1837.822145,474.7364677,442.0091366,918.6090191,687.6369808,904.8337682,794.8143631,987.8083405,977.2558761,2613.499139,837.7462169,1900.150082,709.3960941,924.7821663,755.9706737,737.7638602,463.0725647,177.6106357,1231.9787
WBGene000144542,MTCE.7,1179.56082,1574.834531,159.5181579,234.532533,528.6108662,552.2937849,311.1237499,524.910858,627.7703049,231.6587263,687.7378151,660.2835618,543.2522538,588.3789159,599.6834583,828.6446676,647.1162004,466.747803,529.1300343,289.0839316,266.894732,652.0533448,479.6672831,603.3345041,742.4936488,386.639244,1226.106896,1256.615775,405.296219,1028.992019,602.3435373,504.3915718,98.67613279,357.5874078,768.7745125,470.3604272,868.8119065,789.7872004,684.6942273,707.3512348,395.4650858,425.8532509,2647.038015,1697.133872,1532.210705,1294.439928,1308.58347,976.8988208,1503.54906,622.9885904,578.9906725,515.3826915,377.860561,1389.195453,981.4826,2033.762658,974.4283008,2341.427024,1818.914499,563.531857,1184.816345,831.6615181,601.4134732,638.0272095,1553.413715,768.3661004,2310.174709,2108.433839,569.7982449,753.9757747,2932.345905,741.0037345,2086.389047,684.4495586,1340.816522,258.4694752,705.756618,792.7745572,243.8522127,343.8810039,694.4414704,996.8480821,932.3752974,1188.546033,1143.664294,1116.46176,917.1398816,499.014089,399.0966696,454.9667304,746.517049,1683.197138,1152.922325,838.5106423,879.0291971,611.7125432,364.0599761,458.9733566,960.999007,843.8469699,937.1967967,1128.05987,1094.055464,5.084729714,702.4225736,886.2327937,825.9177314,1323.121654,663.0274033,468.8858931,538.9112315,375.9918144,1549.352128,976.1353128,259.4442343,369.426822,842.4834694,581.1244857,1111.592899,1569.916105,1181.860433,1029.327666,842.7110587,1078.440005,924.8251426,1537.274794,1650.545027,1316.636996,973.3691883,593.174669,290.9185234,1018.312175
WBGene000109592,nduo-1,1738.207445,676.9933115,640.8888108,1253.004578,2432.02908,1489.135449,1046.840493,927.8206753,668.6353819,707.7386325,855.7340183,1392.936222,1060.515506,219.1060473,1157.092696,1819.158691,1954.372558,1793.612196,922.6915619,1319.942533,109.8092479,328.7479962,1658.157926,3388.831211,1829.659735,795.5380265,1423.359208,1651.410265,1274.515412,822.6799177,795.339627,1043.174831,107.7174917,455.3440546,478.7987984,292.0258811,1131.797058,2956.121455,2611.476002,4941.359311,447.3001511,1357.541809,961.3696957,1302.83037,1076.816605,1215.033578,1316.948599,635.5197743,861.4801279,985.4477075,3338.432431,536.4357295,5136.681415,2224.789355,1299.806833,866.1260076,5792.8113,346.7826544,828.5336876,2053.418413,3325.355473,2814.277881,642.1248737,417.154586,2907.620549,443.9822208,836.9630573,3758.443934,2312.521804,1262.447977,824.2912712,1177.873767,888.2134315,3732.498345,3190.949927,706.3554531,856.9149184,910.7240001,2578.210486,4129.04258,2965.693403,473.0843324,1061.842684,3264.818611,801.7791509,2332.6181,379.1122523,787.3405817,397.988286,1510.849985,1414.657711,156.8797016,747.7408257,4390.33155,1025.699011,2853.144257,900.7776917,1407.82131,949.2552416,1410.372009,1993.396997,1279.132927,1765.491853,59.6423377,1020.984482,4315.684516,3408.203785,2023.266223,2013.919377,1371.025019,955.1794746,686.6576559,2934.822026,2315.63376,822.7699773,820.0288083,2536.316806,961.4008618,1222.917115,1053.661423,846.9793348,373.5325225,6170.387963,1151.084291,1742.873523,1140.038371,1208.434328,1002.796239,929.6286558,864.5109275,852.0862396,1483.087488
WBGene000109602,atp-6,4400.254071,5170.193374,2648.97525,2080.757129,4450.214653,4067.015777,2870.473568,2297.67813,3034.657449,3493.882431,3141.432014,4321.551897,2657.521873,1436.22454,3444.097025,6153.004003,3246.478604,3595.745816,2746.788947,1862.756633,666.8968821,704.8379095,2078.842765,6036.906719,4566.503334,2318.874183,4717.255514,4846.388738,7362.509233,5162.434796,2685.958456,2745.386393,290.3604886,1325.379548,1670.849754,1201.153918,2571.658228,5833.450034,5236.036319,10398.53026,2717.235711,7180.917137,7719.112835,4169.259556,4461.085789,2979.031224,3595.805558,2286.028497,3484.285554,3613.002247,4951.652227,933.3238963,7669.506255,5232.060834,4213.078295,4032.984773,11640.35057,3972.779482,5997.827924,7127.736182,8610.215008,9239.421633,2563.343461,2771.805974,4733.610324,3598.696178,6573.804146,8927.642322,5946.382741,3753.048566,6469.004719,2929.695728,5790.603175,8854.663187,8327.38606,2927.949574,2619.123487,3693.159488,4492.746064,5363.888736,8570.562317,1756.989481,4101.657601,7966.116851,2190.909781,6659.642235,3668.585354,6556.551213,2932.66541,2254.392878,1817.756668,7023.409292,2337.302395,8782.75271,6302.458211,5466.932151,5417.228836,4995.591275,2262.307125,6465.19129,4608.853677,7904.737229,4992.42354,1616.42877,2940.199634,8420.980287,6869.551207,6299.475878,6750.5344,3733.511881,3595.591212,2554.634253,9358.178718,8929.299379,2493.639126,2663.979828,5639.128199,3498.549664,3446.583173,4443.562319,4202.151507,3803.172848,10514.63881,4269.157119,10009.04375,2226.821442,4868.854283,4076.889075,3802.253748,2396.139078,2473.861817,6849.866537
WBGene000109612,nduo-2,321.0077814,283.1901258,253.3076164,187.9705206,417.7418734,450.8711599,200.1239007,321.4058333,180.1645013,251.6870494,183.2449496,360.785255,162.6614239,617.8143,306.8035105,382.8642359,302.6659651,223.9346206,183.1588385,286.3589622,67.50915336,0,238.2835867,528.2813762,447.3221336,191.0014185,409.8717519,528.6934391,577.6464637,346.645993,333.4811355,422.6028992,0,139.2651047,126.4330135,72.78660508,266.5037622,421.1753943,414.109074,873.3699197,202.4031234,601.9462585,366.4927873,309.6177091,106.4622591,66.57194709,402.0901226,182.6025641,260.1675538,405.1703663,609.0738239,0,558.3309543,579.2231465,272.3403575,451.5182961,699.6071792,89.60974236,292.6000286,371.9721467,642.0434839,570.0224915,140.7804375,122.1504847,741.3001184,179.9833828,315.9540994,856.8686789,1429.908072,104.3434718,204.675375,307.9557432,188.5140125,606.9876357,1325.917305,172.836639,118.3960295,412.5658315,373.971702,401.2003921,385.8316214,96.4653267,155.8572974,549.864529,215.8124952,245.249086,84.90521181,1021.411504,52.58105528,178.8603959,89.39611806,140.8074545,99.3152759,859.7673911,618.9371495,578.3955557,300.1851965,295.8175778,142.8595412,268.4305972,484.6691238,626.9289587,536.9581916,26.08058846,341.5222555,737.7973614,634.6736851,1385.497331,202.7788849,272.7316593,206.5677677,158.7464161,642.8508736,580.6589743,173.6660854,275.6849119,638.8623031,359.0162918,363.6360817,363.6239135,214.8272439,113.8817163,615.0921244,306.3883862,612.5443608,136.460825,306.7082263,246.4472076,274.6420536,333.8814615,337.5517141,540.4650739
WBGene000008292,ctb-1,1081.556959,1007.488749,686.1406142,449.4477367,1230.351356,614.5355636,496.0584008,630.942844,711.81232,862.6848931,647.3952515,630.9817296,498.1355224,190.9854851,822.3078718,1326.342465,1066.103564,1073.631191,506.3483681,540.2236923,228.0758616,218.2709911,499.9804741,1610.454693,841.7262498,652.0575689,1320.734198,1038.544992,1192.670027,1023.436707,656.5096266,1039.436353,83.24791032,214.286616,588.4870844,452.8753545,990.4153131,1361.605906,1214.673095,2073.637736,337.1996166,1753.192474,1187.380301,1133.937939,784.1006272,549.3923105,1129.771451,489.7219686,1027.726911,925.1358254,1024.663626,230.6413423,1584.004451,1445.049563,1139.219417,1340.426714,1405.351079,797.6632358,713.7190439,1002.796965,1466.217884,1953.471961,502.3503877,373.9255579,1313.147363,683.05523,1008.820189,1841.154913,70.91361997,695.7124096,1071.349464,600.655056,920.8262142,1901.875009,1560.542552,522.8602116,411.9986067,1067.101716,1317.063534,1287.420624,1895.432935,409.7117214,714.9927322,1303.758836,721.9303307,1516.842245,738.3693576,210.3264235,249.9664994,467.2718023,275.8193099,657.4659268,676.8792293,1576.712419,1210.732816,1281.916399,679.4758397,779.5668281,489.9531018,969.0887677,939.967687,1160.209233,935.0207959,36.40789547,696.3415272,1826.805638,1402.293549,1818.97269,1878.835374,977.9377943,622.553723,464.2187963,1686.283854,1961.956053,725.0072174,600.6133254,1135.747816,859.1398706,813.8411406,711.4793169,714.1846005,544.2508173,2772.178488,978.3345481,2282.814271,582.029018,1220.815166,876.1835079,872.9380482,686.0762369,405.5206806,1542.926794
WBGene000109622,ctc-3,5020.143175,2178.023532,1987.888463,1758.133763,5075.579385,4896.188176,3526.891767,2927.995392,4389.116104,3986.176365,2252.759034,2666.549745,1990.464457,3644.786965,3547.369053,5338.07437,3218.071593,3525.727094,1538.060369,1878.104198,568.7423311,1666.003211,2095.082628,6274.32081,4906.139038,2754.973735,4924.545954,6460.581394,4366.59234,2871.443784,2985.457489,2975.739483,338.3492605,1501.436392,2044.73879,1642.60204,3515.754749,4945.49043,3967.285295,8689.988337,1857.284627,5050.225978,3568.585227,2983.661132,2145.707212,1511.746168,2869.155044,1609.834203,2343.856527,4560.393301,4088.785532,1585.696575,8215.472614,2993.295143,2176.063421,3325.224385,9196.584645,3037.574459,2917.392146,5099.092999,5754.967669,10360.49862,1752.308394,1823.905384,4864.301404,2008.097177,4055.8729,9521.04627,4957.172529,3579.014394,3791.101952,3385.758524,3331.095452,6961.422243,6871.568365,3298.009335,882.3414549,3111.743934,3384.565636,4309.982996,5814.347512,1431.044354,3027.500029,7111.138772,1635.23901,3537.372028,422.0782179,3531.932796,3894.442144,2167.030486,2079.819718,3276.911861,2429.697255,7782.000837,7140.927926,6636.867089,2932.30692,6074.836132,2189.613312,4427.506917,5859.633162,5308.021834,4900.062705,769.0898363,3783.94665,8502.728168,7147.119812,9169.383281,7670.86016,4939.935134,6954.409617,1683.137099,6384.394926,8064.261879,2329.155801,2845.065389,6330.625732,3032.030477,3530.069174,3661.394872,3409.412035,2142.486598,10246.62044,3277.417994,8378.194159,1494.187137,3591.746722,3040.284857,2951.962743,2011.835067,1380.711011,7460.543928
WBGene000109632,nduo-4,707.4904606,823.0853756,336.283644,264.6813209,425.0500114,567.0993175,376.4810982,440.2319528,629.7062696,466.9389199,704.8226037,621.1634817,452.4820164,301.3863773,369.6581277,1255.731284,648.3463788,574.8447438,605.2009963,236.0213052,171.7743332,234.6646796,358.0286919,919.974588,883.2645638,467.4518052,1081.709085,976.0441674,913.3700662,839.3807847,560.9021849,702.6509793,0,255.5189098,348.6436937,347.7427882,432.2522377,523.544515,406.6297691,1284.497029,293.228806,1219.418235,1155.081536,1618.505284,1606.523304,758.7609337,1333.820859,933.697646,1268.094159,873.5933648,681.2215193,365.5707013,850.6242251,1049.220088,1206.238164,1136.54866,1082.292394,779.9083514,1306.475289,1113.491451,865.3699377,1190.79723,532.7981639,535.0539927,751.2678786,773.2958438,1464.763359,1467.220799,0,916.0407299,1495.666837,636.7011471,1458.237141,805.5713225,628.2386313,684.4780479,754.8370752,428.4486031,369.1377609,783.8637203,740.2967633,366.737334,648.2079342,1422.198695,832.9007486,1014.056965,278.6070455,695.870811,156.8143139,268.4842252,449.3467068,1298.502573,588.6997546,1097.855957,1265.627071,713.2986226,865.7363887,588.0265886,524.735887,1033.659723,1093.98503,644.3979898,1251.655685,26.961184,489.3589418,1250.309483,967.3946185,1189.62241,913.3768437,560.2864962,862.0604441,284.4450414,1478.130186,1404.163536,633.9640001,541.5201716,1043.804869,777.2342117,1197.339428,787.7280327,358.0970828,781.5557489,1621.957892,1032.946293,2228.920653,572.0519475,1244.856772,930.0721971,859.9123201,456.8881027,475.2625485,1326.461277
WBGene000109642,ctc-1,3314.589094,1787.291307,1571.998425,1226.954519,3660.0973,4364.239671,1974.495479,2250.872859,3702.463605,2369.220756,1119.895706,2820.283583,1415.596086,2058.068693,2536.927441,3724.386263,2280.827704,2022.923837,1331.866528,1618.220963,822.6913596,901.7358114,1450.484546,4254.753216,4437.251723,2879.563535,3213.91317,4339.94203,4801.919419,1591.966965,2739.899777,2762.123275,275.5627731,1405.201022,1438.682617,1628.403167,2956.275008,2769.249973,2320.071149,4312.541617,2066.967082,4070.982505,2508.361377,2972.267624,2879.943347,1237.109716,2870.423937,1952.913146,2368.300513,3140.230465,1869.531895,1141.381136,4889.338307,2616.407801,2210.949333,2286.40118,8116.072876,2202.069973,2418.157899,2706.333055,2656.823927,7204.875315,959.172304,1746.737273,5560.004427,1095.218258,2453.890395,4502.025975,428.4313073,1912.501393,2607.619482,1649.532237,2406.096738,3431.912058,4603.067403,3298.939374,1266.51315,1200.318124,2433.860122,3258.31368,3307.880472,950.472725,2421.933818,3197.075066,2038.882598,3569.741265,628.3708536,1397.826949,1993.732531,1392.071076,1199.346717,2478.893617,2761.492256,5011.067644,5631.148894,4611.232505,2485.66866,4197.383604,1481.251143,3748.622592,4919.393589,4030.963902,3223.698448,344.1060194,2635.489733,5053.4477,4392.940719,7085.483319,5780.905644,2685.805843,2867.030451,1573.666751,4052.293052,5660.155292,1967.239625,2841.842902,4396.696924,2453.977537,2839.994061,2163.666402,3313.540169,1708.543969,6041.596041,2735.765139,3505.556,1143.060828,2890.690607,2837.399036,2642.713323,1901.504881,2011.499359,5020.603812
