,NSM,PDE,RIM,CEP,VC_4_5,ADE,ADF,CAN,RIH,RIC,HSN,RIR,AVM,ASI
C06A5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C55C3.3,,,,,,,,,,,,,,
F40H3.2,0.15193213231552347,0.5,0.12184081175523159,0.19644218664796326,0.02186620790970565,0.0,0.01456522154472658,0.5,0.0,0.03424814185362767,0.010878231573865664,0.03860183851764982,0.05303190802815467,0.0
F42A9.6,0.8272703291240744,0.0,0.05687413569537316,0.12307855745152704,0.6708990332335094,0.0,0.0,0.0,0.0,0.6133061926068919,0.8926191335604258,0.0,0.0,0.0
H14A12.5,,,,,,,,,,,,,,
K07E3.1,1.0,0.16438737021477087,0.4037563711431739,0.2908130734383727,0.11546418002151503,0.10525272157426843,0.18207069707803358,0.6514288728155734,0.17486100210140174,0.12733979201484041,0.3624101176420047,0.08982651527829186,0.5576226811394289,0.253994010254908
K08F4.5,,,,,,,,,,,,,,
K10C2.8,1.0,0.0,0.0,0.33035966208546064,0.0,0.0,0.3956356154822306,0.0,0.0,0.5573299424164209,0.0,0.0,0.0,0.0
T01D3.6,0.0,0.0,0.0,0.8201587982199727,1.0,0.0,0.0,0.0,0.0,0.0,0.1828840774072858,0.0,0.7411510837337368,0.30425482328593445
T03D3.5,,,,,,,,,,,,,,
T06E4.12,,,,,,,,,,,,,,
T08B2.11,,,,,,,,,,,,,,
T10D4.6,0.672464360980434,0.7521384318351432,0.3105438499310455,0.4766716818576622,0.8448385029347366,0.27413198598877553,0.6752377243201741,0.36449221787947406,0.0,0.0650496730111983,0.49851490976274465,0.1749540157017992,0.441394696621843,0.5503091726311814
T19C9.8,0.0,0.0,0.0,0.3003936082742549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
T23F6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y17D7C.3,0.570996408826074,0.8216758096851196,0.16666478268389318,0.3780252843096407,0.4946283112500422,0.394517746438021,0.17297281289092611,0.21224114427266927,0.20222030744187988,0.2660478769504251,0.7035925126286342,0.514077415049526,0.049780417962179024,0.19637515650993526
Y53F4B.21,0.35717068769855387,0.0,0.0,0.0,0.15592249070644879,0.17114487027551445,0.34603661803131697,1.0,0.1444250851778105,0.21209043121095197,0.37252807588901315,0.39523663542757465,0.0,0.2451745496269455
Y59C2A.3,0.6680178944635119,0.9901472444483685,0.37208380693343124,0.5417889968812559,0.4681147633043665,0.33256284507334666,0.27927096342637847,0.6206695503487439,0.3448951960517853,0.4042706217286869,0.9266548841028515,0.7108629378459775,0.32972913583958946,0.43490369124579925
Y75B8A.28,,,,,,,,,,,,,,
ZC317.7,,,,,,,,,,,,,,
acs-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
cdh-5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5014340393958334
clec-66,,,,,,,,,,,,,,
