dataset,neuron,tpm_min,pct_max,N,K,n,k,bg_frac,obs_frac,enrichment,p_hypergeom,q_bh,sig_bh
Taylor L4,ADE,1,0.01,13713,5070,25,10,0.369722,0.4,1.0819,0.450569,1.0,False
Taylor L4,ADE,1,0.05,13713,4161,25,6,0.303435,0.24,0.7909,0.816676,1.0,False
Taylor L4,ADE,1,0.1,13713,2872,25,4,0.209436,0.16,0.764,0.799629,1.0,False
Taylor L4,ADE,1,0.2,13713,1348,25,1,0.098301,0.04,0.4069,0.924923,1.0,False
Taylor L4,ADE,1,0.33,13713,580,25,0,0.042296,0.0,0.0,1.0,1.0,False
Taylor L4,ADE,1,0.5,13713,208,25,0,0.015168,0.0,0.0,1.0,1.0,False
Taylor L4,ADF,1,0.01,13713,6929,25,11,0.505287,0.44,0.8708,0.803161,1.0,False
Taylor L4,ADF,1,0.05,13713,4665,25,5,0.340188,0.2,0.5879,0.960288,1.0,False
Taylor L4,ADF,1,0.1,13713,2675,25,2,0.19507,0.08,0.4101,0.969013,1.0,False
Taylor L4,ADF,1,0.2,13713,1076,25,0,0.078466,0.0,0.0,1.0,1.0,False
Taylor L4,ADF,1,0.33,13713,533,25,0,0.038868,0.0,0.0,1.0,1.0,False
Taylor L4,ADF,1,0.5,13713,288,25,0,0.021002,0.0,0.0,1.0,1.0,False
Taylor L4,AVM,1,0.01,13713,5511,25,9,0.401881,0.36,0.8958,0.733026,1.0,False
Taylor L4,AVM,1,0.05,13713,3790,25,6,0.27638,0.24,0.8684,0.728594,1.0,False
Taylor L4,AVM,1,0.1,13713,2411,25,3,0.175819,0.12,0.6825,0.841287,1.0,False
Taylor L4,AVM,1,0.2,13713,1062,25,1,0.077445,0.04,0.5165,0.866951,1.0,False
Taylor L4,AVM,1,0.33,13713,471,25,0,0.034347,0.0,0.0,1.0,1.0,False
Taylor L4,AVM,1,0.5,13713,210,25,0,0.015314,0.0,0.0,1.0,1.0,False
Taylor L4,CAN,1,0.01,13713,6645,25,18,0.484577,0.72,1.4858,0.014749,0.389817,False
Taylor L4,CAN,1,0.05,13713,5257,25,15,0.383359,0.6,1.5651,0.022933,0.389817,False
Taylor L4,CAN,1,0.1,13713,3845,25,11,0.280391,0.44,1.5692,0.06403,0.896418,False
Taylor L4,CAN,1,0.2,13713,2238,25,9,0.163203,0.36,2.2058,0.013677,0.389817,False
Taylor L4,CAN,1,0.33,13713,1263,25,6,0.092102,0.24,2.6058,0.023203,0.389817,False
Taylor L4,CAN,1,0.5,13713,721,25,5,0.052578,0.2,3.8039,0.00875,0.389817,False
Taylor L4,CEP,1,0.01,13713,6274,25,14,0.457522,0.56,1.224,0.203441,1.0,False
Taylor L4,CEP,1,0.05,13713,5107,25,13,0.37242,0.52,1.3963,0.094824,0.995648,False
Taylor L4,CEP,1,0.1,13713,3575,25,9,0.260702,0.36,1.3809,0.18102,1.0,False
Taylor L4,CEP,1,0.2,13713,1727,25,6,0.125939,0.24,1.9057,0.08536,0.995648,False
Taylor L4,CEP,1,0.33,13713,732,25,0,0.05338,0.0,0.0,1.0,1.0,False
Taylor L4,CEP,1,0.5,13713,242,25,0,0.017647,0.0,0.0,1.0,1.0,False
Taylor L4,HSN,1,0.01,13713,6666,25,13,0.486108,0.52,1.0697,0.444146,1.0,False
Taylor L4,HSN,1,0.05,13713,5285,25,11,0.385401,0.44,1.1417,0.356217,1.0,False
Taylor L4,HSN,1,0.1,13713,3968,25,5,0.28936,0.2,0.6912,0.889946,1.0,False
Taylor L4,HSN,1,0.2,13713,2261,25,3,0.16488,0.12,0.7278,0.805285,1.0,False
Taylor L4,HSN,1,0.33,13713,1121,25,1,0.081747,0.04,0.4893,0.881639,1.0,False
Taylor L4,HSN,1,0.5,13713,457,25,0,0.033326,0.0,0.0,1.0,1.0,False
Taylor L4,NSM,1,0.01,13713,7085,25,14,0.516663,0.56,1.0839,0.408736,1.0,False
Taylor L4,NSM,1,0.05,13713,6055,25,12,0.441552,0.48,1.0871,0.423488,1.0,False
Taylor L4,NSM,1,0.1,13713,4719,25,10,0.344126,0.4,1.1624,0.346142,1.0,False
Taylor L4,NSM,1,0.2,13713,2830,25,5,0.206374,0.2,0.9691,0.610204,1.0,False
Taylor L4,NSM,1,0.33,13713,1537,25,4,0.112083,0.16,1.4275,0.305481,1.0,False
Taylor L4,NSM,1,0.5,13713,738,25,2,0.053818,0.08,1.4865,0.392605,1.0,False
Taylor L4,PDE,1,0.01,13713,6104,25,8,0.445125,0.32,0.7189,0.93002,1.0,False
Taylor L4,PDE,1,0.05,13713,4586,25,5,0.334427,0.2,0.598,0.955009,1.0,False
Taylor L4,PDE,1,0.1,13713,3300,25,2,0.240648,0.08,0.3324,0.990891,1.0,False
Taylor L4,PDE,1,0.2,13713,1848,25,1,0.134763,0.04,0.2968,0.973276,1.0,False
Taylor L4,PDE,1,0.33,13713,1016,25,1,0.07409,0.04,0.5399,0.854302,1.0,False
Taylor L4,PDE,1,0.5,13713,493,25,0,0.035951,0.0,0.0,1.0,1.0,False
Taylor L4,RIC,1,0.01,13713,5860,25,8,0.427332,0.32,0.7488,0.902832,1.0,False
Taylor L4,RIC,1,0.05,13713,4399,25,6,0.32079,0.24,0.7482,0.861381,1.0,False
Taylor L4,RIC,1,0.1,13713,2818,25,4,0.205498,0.16,0.7786,0.78615,1.0,False
Taylor L4,RIC,1,0.2,13713,1194,25,1,0.087071,0.04,0.4594,0.897666,1.0,False
Taylor L4,RIC,1,0.33,13713,444,25,1,0.032378,0.04,1.2354,0.561141,1.0,False
Taylor L4,RIC,1,0.5,13713,189,25,1,0.013783,0.04,2.9022,0.293383,1.0,False
Taylor L4,RIH,1,0.01,13713,4838,25,6,0.352804,0.24,0.6803,0.921837,1.0,False
Taylor L4,RIH,1,0.05,13713,3645,25,5,0.265806,0.2,0.7524,0.834177,1.0,False
Taylor L4,RIH,1,0.1,13713,2538,25,4,0.18508,0.16,0.8645,0.70584,1.0,False
Taylor L4,RIH,1,0.2,13713,1431,25,4,0.104354,0.16,1.5332,0.260738,1.0,False
Taylor L4,RIH,1,0.33,13713,759,25,1,0.055349,0.04,0.7227,0.759437,1.0,False
Taylor L4,RIH,1,0.5,13713,387,25,0,0.028221,0.0,0.0,1.0,1.0,False
Taylor L4,RIM,1,0.01,13713,5718,25,7,0.416977,0.28,0.6715,0.947488,1.0,False
Taylor L4,RIM,1,0.05,13713,4247,25,4,0.309706,0.16,0.5166,0.973585,1.0,False
Taylor L4,RIM,1,0.1,13713,2656,25,2,0.193685,0.08,0.413,0.967895,1.0,False
Taylor L4,RIM,1,0.2,13713,985,25,0,0.07183,0.0,0.0,1.0,1.0,False
Taylor L4,RIM,1,0.33,13713,356,25,0,0.025961,0.0,0.0,1.0,1.0,False
Taylor L4,RIM,1,0.5,13713,132,25,0,0.009626,0.0,0.0,1.0,1.0,False
Taylor L4,RIR,1,0.01,13713,5139,25,7,0.374754,0.28,0.7472,0.884126,1.0,False
Taylor L4,RIR,1,0.05,13713,4413,25,6,0.321811,0.24,0.7458,0.863734,1.0,False
Taylor L4,RIR,1,0.1,13713,3420,25,6,0.249398,0.24,0.9623,0.619236,1.0,False
Taylor L4,RIR,1,0.2,13713,2092,25,5,0.152556,0.2,1.311,0.331202,1.0,False
Taylor L4,RIR,1,0.33,13713,1209,25,1,0.088165,0.04,0.4537,0.90069,1.0,False
Taylor L4,RIR,1,0.5,13713,663,25,1,0.048348,0.04,0.8273,0.710621,1.0,False
Taylor L4,ASI,1,0.01,13713,6346,25,12,0.462773,0.48,1.0372,0.509048,1.0,False
Taylor L4,ASI,1,0.05,13713,4511,25,5,0.328958,0.2,0.608,0.949462,1.0,False
Taylor L4,ASI,1,0.1,13713,2919,25,3,0.212864,0.12,0.5637,0.925365,1.0,False
Taylor L4,ASI,1,0.2,13713,1383,25,1,0.100853,0.04,0.3966,0.930064,1.0,False
Taylor L4,ASI,1,0.33,13713,679,25,1,0.049515,0.04,0.8078,0.719369,1.0,False
Taylor L4,ASI,1,0.5,13713,363,25,1,0.026471,0.04,1.5111,0.488953,1.0,False
Taylor L4,VC_4_5,1,0.01,13713,4538,25,11,0.330927,0.44,1.3296,0.171006,1.0,False
Taylor L4,VC_4_5,1,0.05,13713,3801,25,10,0.277182,0.4,1.4431,0.126616,1.0,False
Taylor L4,VC_4_5,1,0.1,13713,2814,25,6,0.205207,0.24,1.1696,0.408878,1.0,False
Taylor L4,VC_4_5,1,0.2,13713,1522,25,1,0.11099,0.04,0.3604,0.94734,1.0,False
Taylor L4,VC_4_5,1,0.33,13713,795,25,0,0.057974,0.0,0.0,1.0,1.0,False
Taylor L4,VC_4_5,1,0.5,13713,388,25,0,0.028294,0.0,0.0,1.0,1.0,False
Taylor L4,ADE,10,0.01,13713,3933,25,6,0.286808,0.24,0.8368,0.765222,1.0,False
Taylor L4,ADE,10,0.05,13713,3568,25,5,0.260191,0.2,0.7687,0.818225,1.0,False
Taylor L4,ADE,10,0.1,13713,2667,25,4,0.194487,0.16,0.8227,0.745025,1.0,False
Taylor L4,ADE,10,0.2,13713,1313,25,1,0.095749,0.04,0.4178,0.919421,1.0,False
Taylor L4,ADE,10,0.33,13713,569,25,0,0.041493,0.0,0.0,1.0,1.0,False
Taylor L4,ADE,10,0.5,13713,206,25,0,0.015022,0.0,0.0,1.0,1.0,False
Taylor L4,ADF,10,0.01,13713,4430,25,7,0.323051,0.28,0.8667,0.74509,1.0,False
Taylor L4,ADF,10,0.05,13713,3650,25,4,0.266171,0.16,0.6011,0.930664,1.0,False
Taylor L4,ADF,10,0.1,13713,2376,25,2,0.173266,0.08,0.4617,0.946535,1.0,False
Taylor L4,ADF,10,0.2,13713,1026,25,0,0.07482,0.0,0.0,1.0,1.0,False
Taylor L4,ADF,10,0.33,13713,523,25,0,0.038139,0.0,0.0,1.0,1.0,False
Taylor L4,ADF,10,0.5,13713,285,25,0,0.020783,0.0,0.0,1.0,1.0,False
Taylor L4,AVM,10,0.01,13713,3665,25,4,0.267265,0.16,0.5987,0.932218,1.0,False
Taylor L4,AVM,10,0.05,13713,3150,25,3,0.229709,0.12,0.5224,0.948615,1.0,False
Taylor L4,AVM,10,0.1,13713,2217,25,2,0.161671,0.08,0.4948,0.929321,1.0,False
Taylor L4,AVM,10,0.2,13713,1025,25,1,0.074747,0.04,0.5351,0.856864,1.0,False
Taylor L4,AVM,10,0.33,13713,462,25,0,0.033691,0.0,0.0,1.0,1.0,False
Taylor L4,AVM,10,0.5,13713,206,25,0,0.015022,0.0,0.0,1.0,1.0,False
Taylor L4,CAN,10,0.01,13713,4950,25,12,0.360971,0.48,1.3297,0.151175,1.0,False
Taylor L4,CAN,10,0.05,13713,4437,25,11,0.323562,0.44,1.3599,0.151218,1.0,False
Taylor L4,CAN,10,0.1,13713,3535,25,10,0.257785,0.4,1.5517,0.084925,1.0,False
Taylor L4,CAN,10,0.2,13713,2170,25,8,0.158244,0.32,2.0222,0.033903,0.949286,False
Taylor L4,CAN,10,0.33,13713,1245,25,6,0.09079,0.24,2.6435,0.021765,0.914127,False
Taylor L4,CAN,10,0.5,13713,712,25,5,0.051922,0.2,3.852,0.008308,0.697875,False
Taylor L4,CEP,10,0.01,13713,4693,25,11,0.34223,0.44,1.2857,0.204089,1.0,False
Taylor L4,CEP,10,0.05,13713,4282,25,10,0.312258,0.4,1.281,0.228603,1.0,False
Taylor L4,CEP,10,0.1,13713,3287,25,8,0.2397,0.32,1.335,0.233636,1.0,False
