neuron_class,coverage,d_min_um,d_p10_um,d_median_um,d_p90_um,frac_within_thresh,contact_span_um,n_verts
HSN,partial (head→mid),0.020329295502134935,0.7566058276670254,12.162336262796943,49.52363627450836,0.4752475247524752,310.0,404
AVM,partial (head→ant.),0.08034637418324014,0.3894494979986456,29.878563399137214,42.69851331787247,0.4602272727272727,220.0,176
PDEL,full body,0.25537000601532983,0.9935457427725847,6.916494516140384,12.411224940442953,0.7586206896551724,600.0,232
PDER,full body,0.25537064697505607,0.9963648316612446,7.588271933491887,17.24224671533521,0.6581196581196581,600.0,234
CANL,full body,0.47864821958216863,4.062687863033278,8.00252171026574,27.661542833141304,0.5851063829787234,440.0,188
CANR,full body,2.5079505636709523,4.219518228750853,6.308275691436486,25.136219389215,0.5797872340425532,450.0,188
VC4/5,soma only,3.9484641866808725,6.3763712104738905,9.221358453630128,14.093097594051677,0.5423728813559322,20.0,236
ADE,head,8.812123920096697,10.719509528443954,23.636972843583084,43.439674268676875,0.06153846153846154,10.0,260
RIC,soma only,30.202688041788015,32.53459741533179,46.714012956690496,50.59062910712228,0.0,0.0,206
NSM,head,30.986691749980388,39.111372678061805,64.27373468331747,67.1657617168098,0.0,0.0,196
RIM,soma only,31.713631209734128,32.540950649254384,44.43711177681993,50.25897270468767,0.0,0.0,292
ASI,head,35.19282748165609,36.00127502374391,46.676405497572375,118.65947878629073,0.0,0.0,308
RIR,soma only,36.84681702103336,38.511418671646055,46.709831771126616,50.590691969462384,0.0,0.0,106
ADF,head,37.09734740688155,38.54391667224816,47.736979685226665,118.66748204209009,0.0,0.0,276
RIH,soma only,38.146446707438784,39.531002957688166,46.55585310119908,50.47698835478866,0.0,0.0,126
CEP,head,46.61378903369439,47.73900920205125,50.28084065736177,124.18053607744316,0.0,0.0,480
