mesh,cx,cy,cz,n_verts
100um,-3.725290298461914e-08,-3.725290298461914e-08,0.0,8
10um,-3.725290298461914e-08,-3.725290298461914e-08,0.0,8
1mm,-3.725290298461914e-08,-3.725290298461914e-08,0.0,8
1um,-3.725290298461914e-08,-3.725290298461914e-08,0.0,8
ADAL,0.027106817545635358,-2.590660279705411,0.33001729455732165,84
ADAR,-0.06982508239646752,-2.5906602342923484,0.3300171217748097,84
ADEL,0.06226726040018327,-2.5447977438117517,0.336469397061702,132
ADER,-0.10370434916606455,-2.5447976011218447,0.33646936748515477,132
ADEshL,0.13704379280919537,-2.4634809318710778,0.3667720955084352,68
ADEshR,-0.17696698680520057,-2.4756848788261414,0.3684679326415062,100
ADEsoL,0.15078826534251372,-2.526934293905894,0.37696600953737897,60
ADEsoR,-0.17701986705263456,-2.5269339164098104,0.37696593602498374,60
ADFL,0.03054829706837024,-2.862939955507006,0.4516923625554357,140
ADFR,-0.07326652444899082,-2.862940033844539,0.45169239171913694,140
ADLL,0.03574780759268573,-2.867044218948909,0.4904384434223175,140
ADLR,-0.07846605085900851,-2.867044048649924,0.49043844576392853,140
AFDL,0.031897904856928755,-2.8639221123286656,0.45570940779788155,140
AFDR,-0.07461614361298936,-2.863922379698072,0.45570951849222185,140
AIAL,0.01641982338236024,-2.704613757133484,0.41285616854826607,60
AIAR,-0.059138064521054426,-2.704613788922628,0.4128561014930407,60
AIBL,-0.012265335062913822,-2.723224542357705,0.4158703729961858,132
AIBR,-0.029411591081456703,-2.7232240944197685,0.415870300070806,132
AIML,0.03621544054476544,-2.680840775370598,0.3888647798448801,64
AIMR,-0.0789336848538369,-2.680840600281954,0.38886483712121844,64
AINL,-0.017555973570172984,-2.7148529324266644,0.45267172613077694,72
AINR,-0.027509871766799025,-2.714853137731552,0.45267178614934284,72
AIYL,0.031138917865852513,-2.6788843234380084,0.39495405554771423,60
AIYR,-0.07385717742145062,-2.678884239991506,0.3949540520707766,60
AIZL,0.01850199565777312,-2.687250393888225,0.37363066977780796,92
AIZR,-4.778823728146761,-12.434650864290154,-1.4097087726644848,92
ALA,-0.012252916626418663,-0.9998124483854148,0.21443796620532207,314
ALML,0.15341834840364754,-1.9395827376283705,0.1555081878323108,128
ALMR,-0.17939446156378835,-1.9395828675478697,0.15550826338585466,128
ALNL,0.06243149433335613,0.9333182676978733,0.1979381157004315,184
ALNR,-0.09090052428655326,0.9334364326103873,0.19793813076356184,184
AMshL,0.04929637682178746,-2.8975313979646433,0.5161450877785683,92
AMshL.001,-0.006503410242578905,-0.08888922404983769,-0.1742519392915394,92
AMshR,-0.09201462761215541,-2.8975313046704168,0.5161451208202735,92
AMsoL,0.033627414423972365,-3.323081058263779,0.5729206368327141,40
AMsoR,-0.07634564433246852,-3.3230807304382326,0.5729206010699273,40
Anus,-0.02831322777395447,3.8987869024276733,0.002412110596196726,24
AQR,-0.058175463367857644,-2.6057980543858297,0.36598437229121056,148
Arcade_Cell_Ant,-0.02143102348018743,-3.4211128564154514,0.5772633021850078,488
Arcade_Cell_Post,-0.022103443090281075,-3.3276588367788413,0.5718381134302992,456
AS1,-0.062001850359427575,-2.3433279286731374,0.28544410174204543,88
AS10,-0.05566736362137211,2.6525857225060463,-0.009122627438046038,96
AS11,-0.050787507370114324,2.996658182144165,-0.05398827197495848,100
AS2,-0.06754044747061055,-2.0410252835439597,0.08954102469041296,92
AS3,-0.07107017578726466,-1.5392943038181826,-0.2322191372513771,88
AS4,-0.05858329957351088,-1.044975265264511,-0.37940690070390704,100
AS5,-0.05596111578723559,-0.37435260821635336,-0.30932627919201666,104
AS6,-0.06442274832321952,-0.005599521954233448,-0.19845517517145103,96
AS7,-0.05642472026455733,0.8966696270638042,0.1943834187393939,108
AS8,-0.05052328750426913,1.4518772619294709,0.22916862977957675,116
AS9,-0.061622597891837355,2.109191069602966,0.131247897753492,100
ASEL,0.015037972522391514,-2.828899155963551,0.4489151237701828,176
ASER,-0.05748624822378836,-2.828899100422859,0.44891494224694645,176
ASGL,0.032493581514685385,-2.8716564486103673,0.45246909847182615,124
ASGR,-0.075211810639068,-2.871656452455828,0.4524690958280717,124
ASHL,0.03433000602914641,-2.853708095020718,0.4496041321092182,144
ASHR,-0.07704825034468538,-2.8537082374095917,0.44960396943820846,144
ASIL,0.02887174179061101,-2.8352987582866964,0.460420419772466,156
ASIR,-0.07158997814911298,-2.8352983655073705,0.4604205548381194,156
ASJL,0.029272520081385187,-2.8382112258359005,0.4403133543306275,152
ASJR,-0.07199078352239571,-2.838211318379954,0.4403133617812081,152
ASKL,0.03077174274302605,-2.8582136697239346,0.4607870996826225,144
ASKR,-0.07348998762770659,-2.8582137392626867,0.46078710485663676,144
AUAL,0.032190977835229465,-2.769659435749054,0.4204559971179281,140
AUAR,-0.07490923084052546,-2.7696594561849324,0.42045607715845107,140
AVAL,-0.026128675371151548,-0.4344891956846776,-0.008250684445274287,232
AVAR,-0.038244945880282544,-0.43494173727030383,-0.008280994691725435,232
AVBL,-0.025047257473108483,-0.7353105139432113,0.03405243286223554,268
AVBR,-0.03941700667309672,-0.735516871172768,0.03813583548389264,268
AVDL,-0.03167590475641191,-0.43036821982341594,-0.009756444471663442,232
AVDR,-0.03135478925281044,-0.42977018275394524,-0.00553442068911832,232
AVEL,-0.028231902101210186,-1.9709409998995917,0.07147835046052933,140
