contrast,Odor,log_estimate,SE,df,t.ratio,p.adj.BH,time_ratio,time_ratio.lower,time_ratio.upper,random_effects,condition
N2 - PHX3900,no,-0.0249559,0.0996607,24.2458,-0.250409,0.964291,0.975353,0.802285,1.18575,(1|Date/Strain_ID),3 min / no odor
N2 - RB1161,no,-0.029464,0.0996607,24.2458,-0.295644,0.964291,0.970966,0.798677,1.18042,(1|Date/Strain_ID),3 min / no odor
PHX3900 - RB1161,no,-0.00450812,0.0996607,24.2458,-0.0452347,0.964291,0.995502,0.818859,1.21025,(1|Date/Strain_ID),3 min / no odor
N2 - PHX3900,33% octanol,-0.0126136,0.0996607,24.2458,-0.126566,0.900328,0.987466,0.812249,1.20048,(1|Date/Strain_ID),3 min / octanol
N2 - RB1161,33% octanol,0.0899348,0.0996607,24.2458,0.90241,0.563576,1.0941,0.899964,1.33012,(1|Date/Strain_ID),3 min / octanol
PHX3900 - RB1161,33% octanol,0.102548,0.0996607,24.2458,1.02898,0.563576,1.10799,0.911388,1.347,(1|Date/Strain_ID),3 min / octanol
N2 - PHX3900,,0.788224,0.0869399,385.212,9.06631,9.52071e-18,2.19949,1.85488,2.60811,(1|Date),20 min / octanol
N2 - RB1161,,0.850214,0.0869399,385.212,9.77933,7.63535e-20,2.34015,1.97351,2.77491,(1|Date),20 min / octanol
PHX3900 - RB1161,,0.0619904,0.0896458,384.988,0.691504,0.489666,1.06395,0.892512,1.26832,(1|Date),20 min / octanol
N2 - PHX3900,,-0.0554841,0.0944574,476,-0.587398,0.89345,0.946027,0.78614,1.13843,(1|Date),20 min / nonanone
N2 - RB1161,,-0.0127791,0.0953585,476,-0.134012,0.89345,0.987302,0.818991,1.1902,(1|Date),20 min / nonanone
PHX3900 - RB1161,,0.042705,0.0952135,476,0.448518,0.89345,1.04363,0.865963,1.25775,(1|Date),20 min / nonanone
