genotype,time_ratio,time_ratio_lo,time_ratio_hi,p,q
N2,1.0000,1.0000,1.0000,,
bas-1,1.0095,0.8011,1.2722,,0.9358
bas-1+cest-2.1,0.4829,0.3830,0.6089,,0.0000
cat-1,0.6178,0.4744,0.8047,,0.0008
cest-1.2,0.9521,0.7796,1.1629,,0.7103
cest-2.1,0.6280,0.5614,0.7024,,0.0000
cest2.1 + tbh-1,0.6496,0.5156,0.8185,,0.0006
ctg-1,1.0493,0.8585,1.2824,,0.7103
fcmt-1,0.6035,0.5188,0.7021,,0.0000
gba-4,0.5785,0.5022,0.6665,,0.0000
glo-1,0.5750,0.4392,0.7528,,0.0002
nhr-49,0.8264,0.6871,0.9939,,0.0827
octr-1,0.7890,0.6608,0.9421,,0.0190
octr-1+ser-3+ser-6,0.9639,0.8068,1.1515,,0.7103
octr-1+ser-6,0.8347,0.6989,0.9970,,0.0827
ser-2,0.9114,0.7045,1.1791,,0.6444
ser-3,0.9368,0.7846,1.1186,,0.6444
ser-6,0.9628,0.8071,1.1486,,0.7103
slc.17.1a,0.5010,0.4423,0.5675,,0.0000
sqv-7,0.6364,0.5195,0.7796,,0.0000
T10C6.6,1.1087,0.8859,1.3875,,0.5716
tbh-1,0.6163,0.5257,0.7226,,0.0000
tdc-1,0.8451,0.6861,1.0409,,0.1868
tdc-1+tbh-1,1.0562,0.8600,1.2973,,0.7103
TO5A1.5,0.5997,0.5191,0.6928,,0.0000
tph-1,0.9198,0.7281,1.1620,,0.6444
tph-1+cest-2.1,0.4339,0.3443,0.5467,,0.0000
tyra-2,0.9386,0.7254,1.2146,,0.7103
ugt-64,0.8151,0.6660,0.9975,,0.0827
