date,has_n2,n2_major_px,zoom_factor,pixel_length_cal,search_range_cal,deviation_pct
20260120,True,43.538,0.966,57.960,29,-3.400
20260121,True,42.623,0.946,56.740,28,-5.400
20260122,True,49.735,1.103,66.200,33,10.300
20260123,True,49.897,1.107,66.420,33,10.700
20260124,True,48.028,1.066,63.930,32,6.600
20260126,False,,1.066,63.930,32,6.600
20260127,False,,1.024,61.440,31,2.400
20260128,False,,1.024,61.440,31,2.400
20260129,True,46.153,1.024,61.440,31,2.400
20260202,True,44.690,0.991,59.490,30,-0.900
20260203,True,41.449,0.920,55.170,28,-8.000
20260204,True,47.857,1.062,63.700,32,6.200
20260205,True,44.034,0.977,58.620,29,-2.300
20260206,True,53.565,1.188,71.300,36,18.800
20260207,True,46.766,1.038,62.250,31,3.800
20260209,True,45.373,1.007,60.400,30,0.700
20260210,True,44.733,0.992,59.550,30,-0.800
20260211,True,47.756,1.059,63.570,32,5.900
20260217,True,45.074,1.000,60.000,30,0.000
20260218,True,47.901,1.063,63.760,32,6.300
20260219,True,41.133,0.913,54.750,27,-8.700
20260221,True,39.932,0.886,53.160,27,-11.400
20260222,True,45.074,1.000,60.000,30,0.000
20260224,True,43.390,0.963,57.760,29,-3.700
20260225,True,44.742,0.993,59.560,30,-0.700
20260226,False,,0.993,59.560,30,-0.700
20260227,True,47.462,1.053,63.180,32,5.300
20260306,True,44.576,0.989,59.340,30,-1.100
20260307,True,39.102,0.868,52.050,26,-13.200
20260311,True,52.028,1.154,69.260,35,15.400
20260312,True,38.313,0.850,51.000,26,-15.000
