,NSM,PDE,RIM,CEP,VC_4_5,ADE,ADF,CAN,RIH,RIC,HSN,RIR,AVM,ASI
C06A5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C55C3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F40H3.2,1,1,1,1,0,0,0,1,0,0,0,0,1,0
F42A9.6,1,0,1,1,1,0,0,0,0,1,1,0,0,0
H14A12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K07E3.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K08F4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K10C2.8,1,0,0,1,0,0,1,0,0,1,0,0,0,0
T01D3.6,0,0,0,1,1,0,0,0,0,0,1,0,1,1
T03D3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T06E4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T08B2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T10D4.6,1,1,1,1,1,1,1,1,0,1,1,1,1,1
T19C9.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0
T23F6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y17D7C.3,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Y53F4B.21,1,0,0,0,1,1,1,1,1,1,1,1,0,1
Y59C2A.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Y75B8A.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZC317.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cdh-5,0,0,1,0,0,0,0,0,0,0,0,0,0,1
clec-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ctg-1,1,0,1,1,1,1,0,1,0,0,1,0,1,0
cyp-14A5,0,1,1,0,0,0,1,1,0,0,0,1,0,1
daf-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exc-7,1,1,0,1,1,1,0,1,0,1,1,0,0,1
gba-4,0,0,0,0,0,1,0,1,1,0,1,1,0,1
igcm-3,1,0,0,1,1,0,0,0,0,1,1,1,0,0
lin-38,1,0,1,1,1,1,1,1,1,1,1,1,0,1
lst-5,0,0,0,1,1,1,0,0,0,0,0,1,0,0
lst-6,1,1,1,1,1,1,1,1,1,0,1,1,1,1
nlp-27,1,1,1,1,0,1,1,1,0,1,0,1,0,0
ptr-3,0,0,0,0,0,0,0,0,0,0,1,0,0,1
rgs-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
scb-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
sqv-7,1,0,1,1,1,0,1,1,0,1,0,1,0,0
tcl-2,1,0,0,0,0,0,0,1,0,0,1,0,0,0
ten-1,1,1,0,0,1,1,1,1,1,0,0,1,0,0
ugt-64,1,0,0,0,1,1,0,1,0,0,1,1,1,1
vab-3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
