dataset,neuron,tpm_min,fold_thr,N,K,n,k,bg_frac,obs_frac,enrichment,p_hypergeom,q_bh,sig_bh
Taylor L4,CAN,1,0.25,13713,6470,25,18,0.471815,0.72,1.526,0.010595,0.015892,True
Taylor L4,CAN,1,0.5,13713,5707,25,17,0.416174,0.68,1.6339,0.006949,0.012509,True
Taylor L4,CAN,1,1.0,13713,4004,25,15,0.291986,0.6,2.0549,0.001299,0.005417,True
Taylor L4,CAN,1,2.0,13713,1958,25,8,0.142784,0.32,2.2411,0.019261,0.024764,True
Taylor L4,CAN,1,4.0,13713,786,25,6,0.057318,0.24,4.1872,0.002407,0.005417,True
Taylor L4,CAN,1,8.0,13713,438,25,5,0.03194,0.2,6.2616,0.001017,0.005417,True
Taylor L4,CAN,1,16.0,13713,298,25,4,0.021731,0.16,7.3627,0.001928,0.005417,True
Taylor L4,CAN,1,32.0,13713,203,25,2,0.014803,0.08,5.4041,0.052352,0.058896,False
Taylor L4,CAN,1,64.0,13713,133,25,1,0.009699,0.04,4.1242,0.216409,0.216409,False
Taylor adult,CAN,1,0.25,14426,6712,30,15,0.465271,0.5,1.0746,0.419914,0.755846,False
Taylor adult,CAN,1,0.5,14426,6191,30,14,0.429156,0.466667,1.0874,0.405705,0.755846,False
Taylor adult,CAN,1,1.0,14426,4703,30,12,0.326009,0.4,1.227,0.247558,0.755846,False
Taylor adult,CAN,1,2.0,14426,2399,30,6,0.166297,0.2,1.2027,0.381387,0.755846,False
Taylor adult,CAN,1,4.0,14426,933,30,3,0.064675,0.1,1.5462,0.306465,0.755846,False
Taylor adult,CAN,1,8.0,14426,414,30,1,0.028698,0.033333,1.1615,0.582902,0.874352,False
Taylor adult,CAN,1,16.0,14426,237,30,0,0.016429,0.0,0.0,1.0,1.0,False
Taylor adult,CAN,1,32.0,14426,144,30,0,0.009982,0.0,0.0,1.0,1.0,False
Taylor adult,CAN,1,64.0,14426,90,30,0,0.006239,0.0,0.0,1.0,1.0,False
Ghaddar (adult),CAN,1,0.25,20222,6092,40,18,0.301256,0.45,1.4937,0.033128,0.074538,False
Ghaddar (adult),CAN,1,0.5,20222,5382,40,16,0.266146,0.4,1.5029,0.045013,0.081023,False
Ghaddar (adult),CAN,1,1.0,20222,4315,40,14,0.213381,0.35,1.6403,0.032595,0.074538,False
Ghaddar (adult),CAN,1,2.0,20222,2690,40,12,0.133023,0.3,2.2552,0.004567,0.041105,True
Ghaddar (adult),CAN,1,4.0,20222,1209,40,6,0.059786,0.15,2.5089,0.030299,0.074538,False
Ghaddar (adult),CAN,1,8.0,20222,428,40,2,0.021165,0.05,2.3624,0.20737,0.311054,False
Ghaddar (adult),CAN,1,16.0,20222,189,40,0,0.009346,0.0,0.0,1.0,1.0,False
Ghaddar (adult),CAN,1,32.0,20222,91,40,0,0.0045,0.0,0.0,1.0,1.0,False
Ghaddar (adult),CAN,1,64.0,20222,51,40,0,0.002522,0.0,0.0,1.0,1.0,False
