Cell,Taylor_adult_k,Taylor_adult_K,Taylor_adult_enrichment,Taylor_adult_p,Taylor_L4_k,Taylor_L4_K,Taylor_L4_enrichment,Taylor_L4_p,Ghaddar_k,Ghaddar_K,Ghaddar_enrichment,Ghaddar_p,Ghaddar_note,Taylor_adult_q,Taylor_L4_q,Ghaddar_q,mean_enrichment
VC_4_5,18,41,1.26,0.142,12,26,1.39,0.12,4,43,1.5,0.277,,0.567,0.835,0.776,1.38
CEP,19,41,1.17,0.233,15,26,1.23,0.179,9,43,1.66,0.084,merged CEP+ADE+PDE,0.567,0.835,0.392,1.35
ADE,16,41,1.2,0.229,11,26,1.13,0.374,9,43,1.66,0.084,merged CEP+ADE+PDE,0.567,0.846,0.392,1.33
CAN,16,41,1.0,0.556,19,26,1.43,0.018,5,43,1.43,0.272,,0.778,0.252,0.776,1.29
PDE,12,41,1.01,0.549,9,26,0.76,0.909,9,43,1.66,0.084,merged CEP+ADE+PDE,0.778,0.933,0.392,1.14
NSM,20,41,1.33,0.077,15,26,1.1,0.362,2,43,0.97,0.616,,0.567,0.846,0.978,1.13
RIR,17,41,1.2,0.225,8,26,0.82,0.824,4,43,1.09,0.508,,0.567,0.933,0.978,1.04
RIC,16,41,1.05,0.468,9,26,0.78,0.882,5,43,1.02,0.552,,0.778,0.933,0.978,0.95
HSN,19,41,1.16,0.243,14,26,1.08,0.423,4,43,0.62,0.903,,0.567,0.846,0.978,0.95
ASI,17,41,1.02,0.516,14,26,1.11,0.37,4,43,0.66,0.872,,0.778,0.846,0.978,0.93
RIM,13,41,0.89,0.744,8,26,0.71,0.933,3,43,0.9,0.656,,0.907,0.933,0.978,0.83
AVM,10,41,0.73,0.922,10,26,0.92,0.704,3,43,0.56,0.915,,0.922,0.933,0.978,0.74
ADF,15,41,0.85,0.842,12,26,0.86,0.826,2,43,0.37,0.978,,0.907,0.933,0.978,0.69
RIH,10,41,0.81,0.834,7,26,0.75,0.875,1,43,0.29,0.972,,0.907,0.933,0.978,0.62
