,gene_name,ADA,ADE,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,ALM,ALN_PLN,AQR,AS,AS11,ASEL,ASER,ASG,ASH,ASI,ASJ,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVG,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWC_OFF,AWC_ON,BAG,BDU,CAN,CEP,DA,DA1,DA9,DB,DB01,DD,DVA,DVB,DVC,FLP,HSN,I1,I2,I3,I4,I5,I6,IL1_DV,IL1_LR,IL2_DV,IL2_LR,LUA,M1,M2,M3,M4,M5,MC,MI,NSM,OLL,OLQ,PDA,PDB,PDE,PHA,PHB,PHC,PLM,PQR,PVC,PVD,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RMD_DV,RMD_LR,RME_DV,RME_LR,RMF,RMG,RMH,SAA,SAB,SDQL,SDQR,SIA,SIB,SMB,SMD,URA,URB,URX,URY,VA,VA1,VA12,VB,VB01,VB02,VC,VC_4_5,VD
WBGene000065612,tcl-2,0.0,0.0,0.0,0.0,8.689833221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.49111658,0.0,5.062873862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.894374313,0.0,0.0,0.0,0.0,11.67836286,0.0,24.10269759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.813610653,27.26069614,42.39404213,20.29845756,14.36244224,0.0,0.0,0.0,0.0,0.0,29.8393026,7.103480849,0.0,0.0,0.0,55.47966505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.48918032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.77787366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8871258,0.0,0.0
WBGene000211602,gba-4,0.0,9.663959959,0.0,0.0,6.45358564,2.86911912,0.0,4.725637135,0.0,1.338514848,0.0,0.0,2.89009437,5.354178442,0.0,5.862224497,0.0,6.911710637,0.0,3.762751597,0.0,2.40586509,18.01645861,0.0,0.0,0.0,8.294711021,0.0,2.785463528,0.0,14.56389409,0.0,0.0,0.0,0.0,0.0,7.094823928,10.90461113,2.593598909,0.0,0.0,4.216763673,0.0,0.0,0.0,57.7335061,0.0,6.715461746,0.0,13.38152451,0.0,0.0,8.600636027,0.0,2.832193285,11.85327234,0.0,13.69662501,4.513724034,9.502806607,9.170577206,0.0,0.0,4.619579421,0.0,60.06175279,0.0,2.343039841,4.008032331,0.0,0.0,0.0,0.796946206,0.0,0.0,9.949384431,0.0,0.0,0.0,0.0,0.0,35.37014559,0.0,0.0,7.238016484,10.42437723,0.0,0.0,3.44152517,0.0,0.0,0.0,6.883132271,5.117838809,0.0,0.0,0.0,0.0,5.241012775,6.106300595,0.0,4.077973394,6.854384955,0.0,0.0,0.0,2.144045555,5.956442396,11.2645201,5.076562253,0.0,5.171802547,0.0,11.90874676,12.36097417,8.66362057,0.0,0.0,2.531871828,6.043553081,5.254801385,0.0,0.0,0.0,9.68967522,0.0,0.0,0.0,0.0,9.832688708,3.568788305,0.0,10.36327865
WBGene000169532,C55C3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBGene000183352,F42A9.6,0.0,0.0,0.0,0.0,206.778749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.58634099,72.36135342,0.0,35.63417569,85.0484542,0.0,0.0,0.0,0.0,0.0,130.5468731,116.7862873,35.83177651,0.0,31.53824116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.9435828,0.0,0.0,0.0,0.0,0.0,49.68851332,0.0,0.0,73.27575928,0.0,74.64122869,32.30101952,0.0,288.7186059,237.3859865,72.21518673,0.0,52.88830934,0.0,0.0,89.36472014,0.0,0.0,0.0,0.0,0.0,0.0,89.87733564,0.0,0.0,0.0,0.0,367.6828015,0.0,65.03504787,46.62955463,130.1627088,0.0,23.3471087,0.0,0.0,65.75021234,67.74121492,0.0,0.0,0.0,0.0,0.0,0.0,97.17614448,22.79695105,100.7002859,0.0,90.88270634,333.7228446,14.43459055,0.0,0.0,0.0,0.0,0.0,0.0,175.6764429,0.0,180.9225722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0902859,46.54938178,0.0,28.87720424,0.0,0.0,36.8218521,44.08179072,206.6142554,135.7831703
WBGene000003972,cdh-5,0.0,0.0,0.0,0.0,0.0,0.0,30.32204166,0.0,0.0,58.29194875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.63583321,7.493047495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.651195263,27.42354361,23.05053126,0.0,18.41233037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.538464363,8.979296045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.94323661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene000106792,K08F4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBGene000119522,T23F6.5,0.0,0.0,0.0,0.0,94.35128283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.30173203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.88477594,145.1461958,0.0,0.0,0.0
WBGene000043482,rgs-5,21.05700487,8.649309734,43.63928006,26.9145873,6.82900859,18.52596528,4.789455252,0.0,33.51082352,0.0,8.047614211,0.0,29.05447168,9.837972922,13.68397925,48.02006704,14.93959602,52.17042504,11.33820952,14.32162416,33.81845456,46.64557667,35.62655454,10.20973617,10.41314509,29.34030903,26.5781342,40.17508677,23.32542438,14.33525036,70.38536381,43.52379394,50.2541086,34.55220697,16.69168709,91.75261307,15.75815221,29.77969127,14.52740237,4.329184745,4.184343867,23.31746032,14.37628691,14.98088116,20.27838709,0.0,53.23115373,0.0,19.62704946,34.24912434,0.0,76.90087441,26.21457646,64.28295666,36.43638646,0.0,41.59316758,0.0,55.25353348,22.25518039,15.40835358,23.90643015,40.46321099,45.25255555,13.55996216,30.29971165,25.81711819,70.59743204,67.51897657,36.05455362,74.02832872,26.2568085,7.789251161,21.19003662,21.17853937,15.14763657,36.07991107,37.27940025,19.22218113,15.07420492,23.28242447,22.41355903,0.0,0.0,45.28237398,71.56026086,12.89094712,24.93523331,12.11897644,22.07324713,50.94691019,0.0,31.62056264,21.9013358,52.68540229,16.60315966,13.21253738,0.0,15.82681995,19.83769842,37.43291969,10.77073584,18.62909085,26.85389278,10.91932776,34.6211567,28.09313153,12.02026946,0.0,39.75589504,11.92103459,31.42094359,12.87574325,35.58384854,14.85630451,14.97944689,17.10358218,18.45231355,8.205326817,29.13712294,27.63475094,5.279968608,25.33538718,33.04451473,36.17284319,49.9602685,0.0,19.25780706,20.40241889,12.1349768,15.90595657,0.0,21.56299871
WBGene000064982,ten-1,0.0,709.7761526,361.0234427,0.0,0.0,0.0,0.0,691.2747199,0.0,156.0638847,224.3067481,0.0,0.0,0.0,80.20457791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.6966246,643.7792837,0.0,0.0,0.0,0.0,0.0,678.566328,0.0,0.0,459.1749626,0.0,0.0,0.0,178.565287,282.5450689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.000313,81.3449248,758.4367009,263.8307702,0.0,505.0123524,0.0,0.0,0.0,326.5031057,749.4698346,0.0,0.0,0.0,0.0,243.859414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.5342085,0.0,1404.293012,0.0,0.0,1195.054378,0.0,0.0,223.0922692,0.0,241.6415087,758.1648578,54.19283315,59.99022631,165.3367501,0.0,0.0,574.5020965,213.4425736,109.6131016,469.3720186,0.0,0.0,0.0,0.0,64.47614826,497.0638937,0.0,0.0,1046.600392,0.0,0.0,1940.426811,319.8392203,805.9138654,0.0,579.239777,0.0,1230.895216,0.0,0.0,0.0,0.0,0.0,290.070368,1051.692491,196.4652936,0.0,107.5552954,1459.226559,525.8831676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.4317356,0.0
WBGene000191972,H14A12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
