,gene_name,ADA,ADE,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,ALM,ALN,AQR,AS,ASEL,ASER,ASG,ASH,ASI,ASJ,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVG,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWC_OFF,AWC_ON,BAG,BDU,CAN,CEP,DA,DA1,DA9,DB,DB01,DB02,DD,DVA,DVB,DVC,FLP,HSN,I1,I2,I3,I4,I5,I6,IL1,IL2_DV,IL2_LR,LUA,M1,M2,M3,M4,M5,MC,MI,NSM,OLL,OLQ,PDA,PDB,PDE,PHA,PHB,PHC,PLM,PLN,PQR,PVC,PVD,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RMD_DV,RMD_LR,RME_DV,RME_LR,RMF,RMG,RMH,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,URA,URB,URX,URY,VA,VA1,VA12,VB,VB01,VB02,VC,VC_4_5,VD
WBGene000064982,ten-1,31.4534133,109.0642992,77.50230806,0.0,11.17128085,0.0,0.0,259.5902649,0.0,38.49535282,62.4727161,0.0,0.0,0.0,134.3030014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.5096217,100.9977144,0.0,0.0,0.0,0.0,0.0,158.0769186,0.0,0.0,75.03020551,0.0,0.0,0.0,18.50688022,124.7185459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.3025113,0.0,150.2354374,0.0,0.0,330.4411257,0.0,0.0,0.0,29.10707007,253.1289068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.91114801,0.0,36.1379201,0.0,130.7273064,19.17030903,0.0,67.42209008,0.0,0.0,123.7834113,0.0,74.96137418,80.66897849,421.1351948,12.51837424,32.70448743,245.7043378,0.0,0.0,46.92361099,31.17670656,67.05755586,87.03552775,40.51617855,0.0,0.0,0.0,24.1961385,206.8122188,0.0,0.0,304.4685844,0.0,0.0,316.0687993,68.20750943,304.0275652,0.0,92.68501468,52.56287133,199.2497672,0.0,0.0,0.0,0.0,50.81744786,385.5191497,51.50842424,0.0,146.2511188,375.5743243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.35134542,0.0
WBGene000201602,igcm-3,30.40763829,0.0,0.0,0.0,0.0,0.0,23.50931346,50.44080797,0.0,4.239530926,68.22549228,0.0,5.941607494,0.0,25.40896011,0.0,1.473657102,0.0,3.494851432,2.347829936,0.0,0.0,2.43146437,7.069529351,18.78564566,0.0,0.0,17.27034713,175.2511885,46.90099628,47.43195262,27.66765217,5.478020077,19.91583865,9.159796059,3.993308707,0.0,3.847017719,0.0,1.450097427,9.22027123,0.0,36.38727752,33.37860984,0.0,0.0,20.60778535,15.39797403,17.30602279,0.0,2.938709408,0.0,3.08371174,0.0,11.13290753,14.16226208,17.56142107,0.0,4.152657915,15.18081779,75.73377395,0.0,5.614093143,11.71653136,0.0,6.695173808,6.564016479,0.0,0.0,25.70291164,27.38705065,40.944639,104.1754995,0.0,0.0,31.10323163,0.0,0.0,0.0,14.30355938,27.29058885,15.24710861,3.999876538,0.0,6.204839542,45.02996854,48.91211733,0.0,0.0,0.0,60.23354385,8.633973454,4.645224552,27.6273149,7.66251474,17.90913068,16.94913624,22.50749681,10.10425325,0.0,0.0,0.0,53.59166285,3.59234978,14.92120448,9.547266797,10.28840285,0.0,0.0,22.42129016,0.0,23.52080491,0.0,0.0,0.0,0.0,13.2078688,6.581217113,14.60416449,33.45252532,0.0,11.59972629,0.0,23.69976676,0.0,103.8464156,19.05007215,37.64821012,14.12450611,8.484389055,22.37356939,12.00468894
WBGene000068702,vab-3,489.1528488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9076443,0.0,0.0,0.0,0.0,0.0,0.0,147.7671841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.5279679,0.0,0.0,184.2710663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.50292107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.1354879,195.3747651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.21120863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.8406367,0.0,0.0,0.0,0.0,0.0,14.98118352,273.3978595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5497747,51.40512923,0.0,847.2410453,374.6680246,0.0,874.5840786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene000155772,ugt-64,1.044616485,2.860507346,2.061852661,1.642436683,0.0,0.0,2.525911642,0.0,3.925471614,5.202387032,0.0,0.0,2.376379606,0.0,0.0,0.0,0.0,4.56377317,4.808280104,1.371965193,3.60012179,1.569572014,3.723013729,9.399446951,0.0,0.0,0.0,14.30717428,4.463129639,2.9196553,2.597724881,3.888603732,0.0,2.041133558,0.0,2.242316884,2.462754739,0.0,1.823040266,3.722463347,0.0,9.122665135,0.0,10.44582409,0.0,0.0,12.94871696,17.76721538,31.1034082,30.59202268,0.0,13.15300694,0.0,14.62726624,3.732429525,0.0,0.0,0.0,26.65417189,14.15512375,0.0,0.0,4.473109595,1.268749616,0.0,5.656607032,19.0731696,96.20825874,0.0,12.45272888,12.07758062,29.49815972,33.51245719,0.0,0.0,0.0,7.074353626,2.63436429,24.14802749,0.0,0.0,5.173871533,2.453801454,7.380047842,4.7731505,0.0,0.0,0.0,0.0,16.38407655,0.0,0.0,3.731488312,1.071349574,0.0,0.0,0.783139485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.09019866,1.24724096,0.0,0.0,9.929676689,19.5943171,0.0,14.12735981,1.064648773,0.0,0.0,1.182494069,10.26560569,0.0,3.999352865,0.0,0.957759203,0.0,0.0,0.0,0.0,5.244323632,9.816856241,6.350351047,4.098062492,9.348235723,3.204953967
WBGene000037652,nlp-27,16.80434804,0.0,5.257117493,0.0,2.453192387,0.0,0.0,0.918160549,8.542728914,4.18946823,0.0,84.03599149,0.0,0.0,0.0,0.0,0.0,0.0,2.067123067,0.0,2.244594457,0.0,0.0,0.0,2.229423986,8.862238312,1.271464269,4.541131355,48.61192553,1.357316827,2.336618272,0.0,0.0,35.38580675,0.0,0.84527747,0.0,0.0,8.714039269,0.0,9.658260505,5.683171475,23.54341111,1.227918451,0.0,0.0,3.975583198,0.0,0.760212469,4.444088917,0.0,0.0,9.9319891,39.15217645,0.0,29.75505568,0.0,0.0,6.483629273,0.0,0.0,0.0,0.0,1.678918883,77.00309932,0.0,2.796741781,0.0,0.0,0.0,2.287124401,1.38055782,0.0,0.0,90.88345034,0.0,0.0,0.0,5.96804833,0.0,0.0,2.497726923,3.462629266,0.0,0.0,0.0,0.0,0.0,0.0,0.77380597,0.0,0.0,0.0,2.077874199,26.46714845,3.051553192,0.0,2.74819688,0.0,0.0,3.200651835,0.0,0.0,0.0,10.44649994,9.767516244,0.0,43.38206585,0.0,33.2015177,0.0,0.0,0.0,0.0,4.377210491,6.254359449,0.0,1.037020272,1.881476413,0.0,60.24319667,4.968185833,0.0,0.0,0.0,10.29372102,0.0,0.0,1.843116613,0.0,0.0,3.346936719
WBGene000440112,T06E4.12,4.957236911,0.0,22.99809252,0.0,2.366441816,0.0,0.0,0.676808193,0.0,21.29303435,0.0,0.0,0.0,0.0,0.0,14.24998364,0.0,0.0,15.65487044,0.0,0.0,0.0,0.850572195,0.0,0.0,0.0,0.0,0.0,2.41428355,4.713848232,0.0,0.0,0.0,0.0,0.0,7.946512255,0.0,99.25189328,0.0,0.0,13.84905745,17.89141628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.91901479,46.23375244,0.0,0.0,1.382979437,0.0,0.0,0.0,1.254054565,3.306472386,0.0,0.0,0.0,0.0,0.0,0.0,21.7891968,0.0,15.47607762,0.0,0.0,0.0,0.0,0.0,0.0,14.10892476,0.0,0.0,0.0,259.777684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.492787976,0.0,0.0,15.84786464,0.0,3.384386626,0.0,0.0,0.0,0.0,4.900449482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.631192138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBGene000104072,scb-1,46.19330236,7.474483053,28.28430452,50.6068803,26.40797899,66.1226356,29.25652862,21.58954754,70.57400155,75.44021195,23.29235444,41.1487378,14.72031565,0.0,12.54761626,20.14060152,18.51054569,46.63755605,32.3479138,12.50164242,35.40336395,35.13326084,22.67676615,33.29300812,39.94846889,30.7646945,17.60612064,26.23374916,4.794596561,2.008271599,16.39555639,41.32052429,10.58558101,21.12946347,3.760464276,48.92401944,137.3948434,71.50923121,85.66004963,22.25487572,25.76247953,67.36969425,26.72499895,7.150634219,25.50044626,0.0,40.64145266,8.333014259,7.320101061,66.64096783,41.43080803,44.74863077,37.80096626,3.492095093,17.53034705,30.43626857,0.0,0.0,0.0,14.49793383,0.0,91.72424564,38.88775403,12.95262667,30.48666324,0.0,0.0,132.4809455,49.43419263,72.73371745,30.2123758,23.36199365,9.754285654,121.8985595,95.63890854,0.0,5.745813996,0.0,63.17801108,67.0766978,28.40479862,5.482617672,31.13005914,18.35168816,29.54944774,19.38867282,5.962877303,0.0,25.3315841,4.36088279,20.6085812,0.0,29.09364935,64.15046326,69.08153205,41.23758758,2.448190934,66.75847399,19.75192121,4.799157311,29.39663836,87.79271184,0.0,7.726343039,34.85740915,28.46100003,87.48238646,74.62821517,294.6404644,9.225875636,26.29465791,69.07000932,23.32808837,9.466320094,51.51031552,45.94722125,61.14528917,23.96945719,38.25717297,25.05266961,18.2379895,11.97686192,52.12041368,25.62220336,0.0,0.0,18.24941169,22.42224073,42.32105641,10.63404523,22.87046798,47.92116679
WBGene000453662,Y17D7C.3,212.1878767,272.5798806,104.0315792,63.96766838,53.03735302,196.6712809,99.5404994,109.5428369,367.8884448,214.5651912,145.5940223,101.517718,101.8730056,550.0167231,141.2334796,168.2600227,65.73000937,102.0041577,107.6980136,114.8190892,126.1819129,138.2482801,56.33700913,485.3171541,200.0818497,67.34050887,137.4638621,183.7250475,106.7846796,252.209969,181.0000564,164.6021799,40.91199411,137.5993932,18.74997193,179.4653336,128.9814173,76.39392394,148.9652576,34.03355121,91.30798177,120.1635655,225.8366266,141.2474527,23.56323193,124.7632384,111.7984294,136.3040461,217.1129488,57.91745847,36.08120679,400.6077832,578.0328194,200.4147485,444.7405804,181.4792882,434.048848,197.5973304,222.9389212,131.2652516,684.4284078,148.9058596,99.5559813,183.0788427,360.3801284,313.6329597,156.7660295,216.9235349,1052.649785,336.8590166,110.0638918,125.6476669,400.3827836,477.7977759,113.987989,149.6683455,352.7912015,286.1245726,182.1260777,252.6948056,608.3620055,25.0102089,187.7885243,268.9404016,200.9315342,178.2574939,12.88532797,0.0,133.4057006,95.01715318,43.82576752,21.74518265,91.96783169,482.4099414,194.8459827,196.4013638,163.3448505,230.8522896,92.64603738,129.3041755,116.240052,135.1606694,378.8913773,52.81332673,115.8728944,477.0762243,290.7946066,114.710217,277.3502245,408.1864209,91.46984272,202.7035978,337.9095382,195.4851631,54.61103416,199.0745077,270.6916359,289.2646785,204.3178853,329.9079833,130.0946883,106.2884298,603.7846332,222.6179058,133.2326503,198.829479,123.2719245,69.188552,105.7829484,432.1617049,283.6714131,116.3943959
WBGene000219862,Y59C2A.3,30.04441653,26.82415837,28.46291561,10.35375629,21.27595345,59.03590012,20.81931242,58.1840281,15.55511082,19.68181078,53.34329309,15.80389462,30.50395325,0.0,11.49349571,56.00043954,62.93197919,36.79849244,26.91681272,33.08394835,20.2419421,18.93789526,44.74570549,27.352562,38.20526192,8.636750858,26.33736268,27.31533406,27.98444688,40.84676412,24.3593426,29.61105303,5.719246884,42.57308993,20.73830939,9.153896413,0.0,40.93498,25.63247531,6.270337019,31.8533058,36.06196308,47.7960889,63.39361072,0.0,91.08090431,92.14047678,82.30848324,104.6918504,31.1837596,19.06402301,64.92352718,25.19029355,33.82314536,71.9106361,41.55693847,42.56954871,52.77920328,67.64191041,38.88518844,0.0,0.0,59.93467399,38.14575108,27.86326995,44.90628161,63.12873853,16.67932956,0.0,53.2684411,44.04141056,44.23076905,53.53168707,0.0,0.0,78.66534549,12.82016762,84.2726039,0.0,83.82461891,46.38468188,39.15855858,83.85381328,56.62196918,27.94698365,20.2989097,100.1859728,0.0,28.77131362,29.93097813,20.87375265,25.17490672,21.39148988,44.69994435,54.27578107,37.83776391,32.73559272,18.370395,41.67147481,40.16705423,13.87412005,12.24901244,52.55733521,34.93966778,0.0,19.1693067,54.66515314,128.8037233,0.0,25.68798149,11.57177098,109.1765201,87.7231461,62.35126987,20.21097637,51.78247967,66.28875016,36.96747538,32.1714979,37.23928212,50.0016972,16.77752981,46.72864675,52.47608281,58.13120842,195.2452177,101.2785548,97.95520044,66.06509284,46.06869872,32.43615065,65.32594778
WBGene000204082,T10D4.6,4.573804222,6.186173182,5.145718546,1.532573053,3.206686671,0.0,6.440911159,0.0,10.508712,4.729414835,5.598516319,3.427469992,7.727384395,0.0,7.100921455,32.59335448,0.0,0.0,7.912000375,2.934224663,4.685261375,13.62803274,10.63319443,0.0,28.79664567,0.0,9.657829365,0.901750951,52.17869702,5.600611761,5.305765705,8.298017723,0.0,40.95413263,7.968309136,1.363073313,14.91900185,1.59583474,8.643883741,9.805126858,15.42304439,8.427606538,9.353657046,20.37637914,0.0,52.9773257,8.522167546,14.26389905,8.493860252,16.33026324,0.0,1.035040541,7.625880813,9.1420414,10.04091009,14.12441554,0.0,0.0,8.141814883,7.089982504,0.0,45.74047263,1.322849904,4.880396624,0.0,1.454078134,2.145011492,141.4063749,0.0,1.047561887,5.67604962,6.485208177,14.68210845,0.0,0.0,0.0,13.87972707,8.317032558,13.4910779,0.0,0.0,8.167447887,0.860440283,0.0,3.5945444,0.0,0.0,0.0,2.618353303,18.78537757,0.0,0.0,9.181134135,5.810297165,2.268704246,0.0,1.122236625,0.0,2.934375586,0.0,5.669370303,5.729566936,0.0,0.0,0.0,4.655068612,1.138056827,0.0,0.0,0.0,0.0,5.25089879,11.88360266,26.61286067,0.0,4.749481158,2.707107121,14.4091778,5.669940709,2.264606775,7.134008785,13.07975028,0.0,4.360168439,0.0,0.0,6.708828383,3.776410875,6.066822288,2.243412247,10.32242029,0.0
