genotype,date,recording_id,forward_run_speed_mm_s,reversal_rate_per_min,pirouette_rate_per_min
N2,20260122,N2##20260122,0.2091,0.0000,0.0000
N2,20260122,N2##20260122,0.2372,1.9544,0.9772
N2,20260122,N2##20260122,0.2092,0.0000,0.0000
N2,20260122,N2##20260122,0.1030,0.0000,2.4490
N2,20260122,N2##20260122,0.2404,0.0000,0.0000
N2,20260122,N2##20260122,0.2078,0.0000,0.0000
N2,20260122,N2##20260122,0.1801,1.6086,1.6086
N2,20260122,N2##20260122,0.2136,0.0000,0.0000
N2,20260122,N2##20260122,0.1464,0.0000,3.8217
N2,20260122,N2##20260122,0.1867,0.0000,0.0000
N2,20260122,N2##20260122,0.2164,0.0000,0.0000
N2,20260122,N2##20260122,0.2498,0.0000,0.0000
N2,20260122,N2##20260122,0.2068,0.0000,0.0000
N2,20260122,N2##20260122,0.2551,0.0000,0.0000
N2,20260122,N2##20260122,0.2910,0.0000,0.0000
N2,20260122,N2##20260122,0.2732,0.0000,0.0000
N2,20260122,N2##20260122,0.1191,0.0000,0.0000
N2,20260122,N2##20260122,0.2817,0.0000,0.0000
N2,20260122,N2##20260122,0.1750,0.0000,0.0000
N2,20260122,N2##20260122,0.2404,0.0000,0.0000
N2,20260122,N2##20260122,0.2290,0.0000,0.0000
N2,20260122,N2##20260122,0.2999,0.0000,0.0000
N2,20260122,N2##20260122,0.2259,0.0000,0.0000
N2,20260122,N2##20260122,0.2443,0.0000,0.0000
N2,20260122,N2##20260122,0.2305,4.1958,2.0979
N2,20260122,N2##20260122,0.2648,0.0000,0.0000
N2,20260122,N2##20260122,0.1947,0.0000,0.0000
N2,20260122,N2##20260122,0.1940,0.0000,0.0000
N2,20260122,N2##20260122,0.2162,0.0000,0.0000
N2,20260122,N2##20260122,0.2272,0.0000,0.0000
N2,20260122,N2##20260122,0.2634,0.0000,0.0000
N2,20260122,N2##20260122,0.1567,0.0000,1.7391
N2,20260122,N2##20260122,0.1860,0.0000,0.0000
N2,20260122,N2##20260122,0.2376,0.0000,0.0000
N2,20260122,N2##20260122,0.1467,0.0000,0.0000
N2,20260122,N2##20260122,0.2070,0.0000,0.0000
N2,20260122,N2##20260122,0.3262,0.0000,0.0000
