genotype,metric,n_recordings,n_particles,fold_change,fc_lo,fc_hi,p_raw,q,stars
T10C6.6,speed,3,189,0.6998,0.5343,0.8654,0.0009,0.0033,**
sqv-7,speed,3,228,0.7520,0.6336,0.8704,0.0002,0.0008,***
ser-3,speed,3,370,0.8454,0.7513,0.9395,0.0023,0.0069,**
bas-1,speed,4,423,0.9348,0.8373,1.0323,0.1963,0.2409,
tph-1+cest-2.1,speed,3,473,0.7999,0.7071,0.8927,0.0001,0.0008,***
TO5A1.5,speed,3,220,0.6471,0.5271,0.7670,0.0000,0.0000,***
ctg-1,speed,3,466,0.8787,0.7856,0.9718,0.0141,0.0318,*
octr-1+ser-6,speed,3,186,0.8553,0.7615,0.9491,0.0040,0.0098,**
tph-1,speed,3,417,0.8258,0.7306,0.9211,0.0008,0.0033,**
bas-1+cest-2.1,speed,3,267,0.8419,0.7477,0.9361,0.0019,0.0065,**
mec-10,speed,3,463,0.8850,0.7917,0.9783,0.0197,0.0409,*
octr-1+ser-3+ser-6,speed,3,287,0.9049,0.8110,0.9988,0.0529,0.0806,
tyra-2,speed,3,479,0.9031,0.8109,0.9954,0.0453,0.0764,
ser-6,speed,3,155,0.9034,0.8074,0.9994,0.0538,0.0806,
tdc-1,speed,3,370,0.8519,0.7567,0.9471,0.0038,0.0098,**
tbh-1,speed,3,409,0.7383,0.6193,0.8572,0.0001,0.0008,***
slc.17.1a,speed,3,370,0.9416,0.8395,1.0437,0.2679,0.3014,
fcmt-1,speed,3,219,0.7396,0.6345,0.8448,0.0000,0.0002,***
nhr-49,speed,3,188,0.9386,0.8449,1.0323,0.2053,0.2410,
gba-4,speed,3,272,,,,,,
glo-1,speed,3,113,,,,,,
cest-1.2,speed,3,331,,,,,,
ugt-31+ugt-64,speed,3,718,0.9281,0.8350,1.0211,0.1367,0.1942,
octr-1,speed,3,451,0.9896,0.8972,1.0820,0.8266,0.8266,
ser-2,speed,3,253,1.0398,0.9446,1.1349,0.4167,0.4500,
tdc-1+tbh-1,speed,3,343,0.9647,0.8187,1.1107,0.6377,0.6623,
cest-2.1,speed,3,342,0.8871,0.7826,0.9916,0.0396,0.0741,
ugt-31,speed,3,614,1.0695,0.9763,1.1626,0.1510,0.2038,
cest2.1 + tbh-1,speed,3,351,0.8871,0.7817,0.9926,0.0411,0.0741,
cat-1,speed,3,262,0.9248,0.8199,1.0297,0.1664,0.2139,
ugt-64,speed,3,208,,,,,,
T10C6.6,reversal_rate,3,189,1.1025,-1.7315,3.9365,0.9437,0.9437,
sqv-7,reversal_rate,3,228,3.2865,1.2479,5.3252,0.0318,0.6627,
ser-3,reversal_rate,3,370,1.9647,0.4197,3.5098,0.2275,0.7366,
bas-1,reversal_rate,4,423,-0.6145,-2.1764,0.9474,0.0491,0.6627,
tph-1+cest-2.1,reversal_rate,3,473,1.4799,0.0408,2.9190,0.5174,0.8580,
TO5A1.5,reversal_rate,3,220,1.5424,-0.4933,3.5781,0.6035,0.8728,
ctg-1,reversal_rate,3,466,1.0731,-0.3794,2.5255,0.9220,0.9437,
octr-1+ser-6,reversal_rate,3,186,2.1330,0.5400,3.7260,0.1689,0.7366,
tph-1,reversal_rate,3,417,1.8665,0.3387,3.3944,0.2728,0.7366,
bas-1+cest-2.1,reversal_rate,3,267,2.0049,0.4733,3.5366,0.2049,0.7366,
mec-10,reversal_rate,3,463,1.3065,-0.1777,2.7908,0.6877,0.8842,
octr-1+ser-3+ser-6,reversal_rate,3,287,2.0765,0.5005,3.6525,0.1866,0.7366,
