genotype,rt_ratio,rt_q,n_recordings,median_rt_s,speed_fc,speed_q
N2,1.0000,,97.0000,7.1000,,
T10C6.6,1.1101,0.4160,5.0000,9.2800,0.6998,0.0033
TO5A1.5,0.6040,0.0000,14.0000,4.1475,0.6471,0.0000
bas-1,1.1275,0.3596,5.0000,7.8400,0.9348,0.2409
bas-1+cest-2.1,0.5117,0.0000,5.0000,3.8100,0.8419,0.0065
cat-1,0.5900,0.0000,5.0000,3.6700,0.9248,0.2139
cest-1.2,1.1145,0.3533,7.0000,9.7100,,
cest-2.1,0.6651,0.0000,26.0000,4.2075,0.8871,0.0741
cest2.1 + tbh-1,0.6885,0.0010,5.0000,5.7700,0.8871,0.0741
ctg-1,1.0935,0.4160,7.0000,7.9400,0.8787,0.0318
fcmt-1,0.5453,0.0000,15.0000,3.5700,0.7396,0.0002
gba-4,0.5950,0.0000,15.0000,3.6900,,
glo-1,0.4599,0.0000,5.0000,2.4000,,
mec-10,,,,,0.8850,0.0409
nhr-49,0.8449,0.0748,8.0000,5.2650,0.9386,0.2410
octr-1,0.8023,0.0115,9.0000,5.9100,0.9896,0.8266
octr-1+ser-3+ser-6,0.9792,0.8579,9.0000,6.5850,0.9049,0.0806
octr-1+ser-6,0.8482,0.0706,9.0000,5.8400,0.8553,0.0098
ser-2,0.9734,0.8579,5.0000,5.5400,1.0398,0.4500
ser-3,0.9520,0.6802,9.0000,6.9700,0.8454,0.0069
ser-6,0.9788,0.8579,9.0000,8.1150,0.9034,0.0806
slc.17.1a,0.5141,0.0000,20.0000,2.9725,0.9416,0.3014
sqv-7,0.6636,0.0000,7.0000,4.3650,0.7520,0.0008
tbh-1,0.6051,0.0000,12.0000,3.9225,0.7383,0.0008
tdc-1,0.8066,0.0343,7.0000,4.1500,0.8519,0.0098
tdc-1+tbh-1,1.0062,0.9789,7.0000,7.9250,0.9647,0.6623
tph-1,1.0289,0.8579,5.0000,9.6500,0.8258,0.0033
tph-1+cest-2.1,0.4595,0.0000,5.0000,2.9700,0.7999,0.0008
tyra-2,1.0002,0.9983,5.0000,9.8200,0.9031,0.0764
ugt-31,,,,,1.0695,0.2038
ugt-31+ugt-64,,,,,0.9281,0.1942
ugt-64,0.8480,0.1024,7.0000,5.9500,,
